experiment,id,trial,condition,agent,correct
adult_ex1,anon0_informativeness,1,test,Monkey,1
adult_ex1,anon0_informativeness,2,control,Frog,0
adult_ex1,anon0_informativeness,3,control,Sheep,0
adult_ex1,anon0_informativeness,4,test,Dog,1
adult_ex1,anon0_informativeness,5,control,Mouse,1
adult_ex1,anon0_informativeness,6,test,Bunny,0
adult_ex1,anon1_informativeness,1,test,Frog,1
adult_ex1,anon1_informativeness,2,control,Bunny,0
adult_ex1,anon1_informativeness,3,test,Mouse,1
adult_ex1,anon1_informativeness,4,control,Monkey,0
adult_ex1,anon1_informativeness,5,test,Dog,1
adult_ex1,anon1_informativeness,6,control,Tiger,1
adult_ex1,anon10_informativeness,1,test,Bunny,1
adult_ex1,anon10_informativeness,2,control,Frog,1
adult_ex1,anon10_informativeness,3,test,Mouse,1
adult_ex1,anon10_informativeness,4,control,Dog,0
adult_ex1,anon10_informativeness,5,test,Monkey,1
adult_ex1,anon10_informativeness,6,control,Tiger,0
adult_ex1,anon11_informativeness,1,test,Frog,1
adult_ex1,anon11_informativeness,2,control,Bear,0
adult_ex1,anon11_informativeness,3,control,Monkey,1
adult_ex1,anon11_informativeness,4,test,Mouse,0
adult_ex1,anon11_informativeness,5,test,Cat,1
adult_ex1,anon11_informativeness,6,control,Tiger,0
adult_ex1,anon12_informativeness,1,control,Mouse,0
adult_ex1,anon12_informativeness,2,test,Monkey,1
adult_ex1,anon12_informativeness,3,control,Frog,0
adult_ex1,anon12_informativeness,4,test,Tiger,1
adult_ex1,anon12_informativeness,5,test,Dog,0
adult_ex1,anon12_informativeness,6,control,Cat,0
adult_ex1,anon13_informativeness,1,control,Mouse,1
adult_ex1,anon13_informativeness,2,test,Dog,1
adult_ex1,anon13_informativeness,3,test,Frog,1
adult_ex1,anon13_informativeness,4,control,Monkey,0
adult_ex1,anon13_informativeness,5,control,Bunny,1
adult_ex1,anon13_informativeness,6,test,Bear,0
adult_ex1,anon14_informativeness,1,test,Bear,1
adult_ex1,anon14_informativeness,2,control,Monkey,1
adult_ex1,anon14_informativeness,3,control,Bunny,0
adult_ex1,anon14_informativeness,4,test,Frog,1
adult_ex1,anon14_informativeness,5,test,Tiger,1
adult_ex1,anon14_informativeness,6,control,Mouse,1
adult_ex1,anon15_informativeness,1,control,Mouse,1
adult_ex1,anon15_informativeness,2,test,Monkey,1
adult_ex1,anon15_informativeness,3,control,Bunny,1
adult_ex1,anon15_informativeness,4,test,Dog,1
adult_ex1,anon15_informativeness,5,test,Frog,1
adult_ex1,anon15_informativeness,6,control,Bear,1
adult_ex1,anon16_informativeness,1,test,Mouse,1
adult_ex1,anon16_informativeness,2,control,Bunny,0
adult_ex1,anon16_informativeness,3,test,Frog,1
adult_ex1,anon16_informativeness,4,control,Tiger,1
adult_ex1,anon16_informativeness,5,test,Dog,1
adult_ex1,anon16_informativeness,6,control,Monkey,0
adult_ex1,anon17_informativeness,1,test,Frog,1
adult_ex1,anon17_informativeness,2,control,Mouse,1
adult_ex1,anon17_informativeness,3,test,Monkey,1
adult_ex1,anon17_informativeness,4,control,Bunny,0
adult_ex1,anon17_informativeness,5,test,Dog,1
adult_ex1,anon17_informativeness,6,control,Tiger,0
adult_ex1,anon18_informativeness,1,test,Mouse,0
adult_ex1,anon18_informativeness,2,control,Frog,1
adult_ex1,anon18_informativeness,3,control,Bunny,1
adult_ex1,anon18_informativeness,4,test,Dog,1
adult_ex1,anon18_informativeness,5,test,Monkey,1
adult_ex1,anon18_informativeness,6,control,Cat,0
adult_ex1,anon19_informativeness,1,control,Monkey,0
adult_ex1,anon19_informativeness,2,test,Frog,0
adult_ex1,anon19_informativeness,3,control,Mouse,1
