experiment,id,condition,trial,agent,correct
adult_ex2_novelty,006b105fb661bbebe6d2ec5cf235cc23,same_speaker,1,Tiger,0
adult_ex2_novelty,006b105fb661bbebe6d2ec5cf235cc23,different_speaker,2,Monkey,0
adult_ex2_novelty,006b105fb661bbebe6d2ec5cf235cc23,same_speaker,3,Cat,0
adult_ex2_novelty,006b105fb661bbebe6d2ec5cf235cc23,different_speaker,4,Sheep,0
adult_ex2_novelty,006b105fb661bbebe6d2ec5cf235cc23,same_speaker,5,Dog,1
adult_ex2_novelty,006b105fb661bbebe6d2ec5cf235cc23,different_speaker,6,Frog,0
adult_ex2_novelty,053e09b362f4f04ea337feb33dffc47c,different_speaker,1,Monkey,1
adult_ex2_novelty,053e09b362f4f04ea337feb33dffc47c,same_speaker,2,Tiger,1
adult_ex2_novelty,053e09b362f4f04ea337feb33dffc47c,different_speaker,3,Bunny,1
adult_ex2_novelty,053e09b362f4f04ea337feb33dffc47c,same_speaker,4,Cat,1
adult_ex2_novelty,053e09b362f4f04ea337feb33dffc47c,same_speaker,5,Bear,1
adult_ex2_novelty,053e09b362f4f04ea337feb33dffc47c,different_speaker,6,Frog,1
adult_ex2_novelty,1436ebe9e351c2708949c2056d5b8a8a,same_speaker,1,Dog,1
adult_ex2_novelty,1436ebe9e351c2708949c2056d5b8a8a,different_speaker,2,Bear,1
adult_ex2_novelty,1436ebe9e351c2708949c2056d5b8a8a,same_speaker,3,Mouse,1
adult_ex2_novelty,1436ebe9e351c2708949c2056d5b8a8a,different_speaker,4,Monkey,0
adult_ex2_novelty,1436ebe9e351c2708949c2056d5b8a8a,same_speaker,5,Sheep,1
adult_ex2_novelty,1436ebe9e351c2708949c2056d5b8a8a,different_speaker,6,Bunny,0
adult_ex2_novelty,19766ea18a38a221fda8e638f7490aa0,different_speaker,1,Monkey,1
adult_ex2_novelty,19766ea18a38a221fda8e638f7490aa0,same_speaker,2,Tiger,0
adult_ex2_novelty,19766ea18a38a221fda8e638f7490aa0,same_speaker,3,Dog,1
adult_ex2_novelty,19766ea18a38a221fda8e638f7490aa0,different_speaker,4,Bunny,0
adult_ex2_novelty,19766ea18a38a221fda8e638f7490aa0,same_speaker,5,Cat,1
adult_ex2_novelty,19766ea18a38a221fda8e638f7490aa0,different_speaker,6,Sheep,0
