experiment,id,condition,trial,agent,correct
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,different_speaker,1,Tiger,1
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,same_speaker,2,Monkey,1
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,different_speaker,3,Dog,0
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,same_speaker,4,Bunny,1
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,same_speaker,5,Cat,1
adult_ex2_preference,09a403b7024081b7ca8bbd069a46e214,different_speaker,6,Sheep,0
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,different_speaker,1,Sheep,0
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,same_speaker,2,Monkey,1
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,same_speaker,3,Dog,1
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,different_speaker,4,Bear,1
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,same_speaker,5,Cat,1
adult_ex2_preference,0ae883f58a548c7ad0cfc6d48ef9f36d,different_speaker,6,Tiger,0
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,same_speaker,1,Mouse,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,different_speaker,2,Tiger,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,different_speaker,3,Cat,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,same_speaker,4,Bear,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,same_speaker,5,Dog,1
adult_ex2_preference,1a3ec53d8a1e1db54f908ab2555e8205,different_speaker,6,Sheep,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,different_speaker,1,Cat,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,same_speaker,2,Monkey,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,different_speaker,3,Bear,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,same_speaker,4,Dog,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,same_speaker,5,Mouse,1
adult_ex2_preference,2a8c1f97edefdab362112bc1d19af9a7,different_speaker,6,Sheep,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,same_speaker,1,Mouse,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,different_speaker,2,Tiger,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,different_speaker,3,Frog,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,same_speaker,4,Bear,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,same_speaker,5,Sheep,1
adult_ex2_preference,2cf6f1c17af460c9434dd770e5014dbd,different_speaker,6,Cat,0
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,different_speaker,1,Bear,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,same_speaker,2,Frog,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,same_speaker,3,Monkey,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,different_speaker,4,Sheep,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,different_speaker,5,Cat,1
adult_ex2_preference,2d0b238bcc7ee2df6fb808cc174cfc4d,same_speaker,6,Dog,0
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,same_speaker,1,Bunny,1
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,different_speaker,2,Tiger,0
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,different_speaker,3,Bear,1
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,same_speaker,4,Frog,1
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,same_speaker,5,Mouse,1
adult_ex2_preference,3617da47cf432838b9a98e1b7276de00,different_speaker,6,Dog,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,different_speaker,1,Sheep,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,same_speaker,2,Bunny,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,different_speaker,3,Monkey,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,same_speaker,4,Dog,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,different_speaker,5,Cat,1
adult_ex2_preference,3879462544b04a7ff40245b8fe0ec9ea,same_speaker,6,Tiger,1
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,same_speaker,1,Frog,1
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,different_speaker,2,Cat,0
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,same_speaker,3,Bear,1
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,different_speaker,4,Bunny,0
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,different_speaker,5,Sheep,0
adult_ex2_preference,3e99aa13aa5e25d9234612113dd1916d,same_speaker,6,Dog,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,same_speaker,1,Frog,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,different_speaker,2,Sheep,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,same_speaker,3,Monkey,1
