experiment,id,trial,common_ground_manipulation,speaker,alignment,agent,correct_inf
adult_ex3,007dd87678a682538ff38f282e9b2c3c,1,novelty,different_speaker,incongruent,Frog,0
adult_ex3,007dd87678a682538ff38f282e9b2c3c,2,novelty,same_speaker,congruent,Bear,1
adult_ex3,007dd87678a682538ff38f282e9b2c3c,3,novelty,different_speaker,congruent,Cat,1
adult_ex3,007dd87678a682538ff38f282e9b2c3c,4,novelty,same_speaker,incongruent,Tiger,0
adult_ex3,007dd87678a682538ff38f282e9b2c3c,5,novelty,different_speaker,congruent,Sheep,0
adult_ex3,007dd87678a682538ff38f282e9b2c3c,6,novelty,same_speaker,incongruent,Bunny,0
adult_ex3,007dd87678a682538ff38f282e9b2c3c,7,novelty,same_speaker,congruent,Pig,0
adult_ex3,007dd87678a682538ff38f282e9b2c3c,8,novelty,different_speaker,incongruent,Elephant,0
adult_ex3,0414f913ff018566360a44381e81e9e6,1,novelty,same_speaker,congruent,Pig,1
adult_ex3,0414f913ff018566360a44381e81e9e6,2,novelty,same_speaker,incongruent,Elephant,0
adult_ex3,0414f913ff018566360a44381e81e9e6,3,novelty,different_speaker,congruent,Cat,1
adult_ex3,0414f913ff018566360a44381e81e9e6,4,novelty,different_speaker,incongruent,Bear,1
adult_ex3,0414f913ff018566360a44381e81e9e6,5,novelty,same_speaker,congruent,Monkey,1
adult_ex3,0414f913ff018566360a44381e81e9e6,6,novelty,different_speaker,incongruent,Beaver,1
adult_ex3,0414f913ff018566360a44381e81e9e6,7,novelty,same_speaker,incongruent,Dog,1
adult_ex3,0414f913ff018566360a44381e81e9e6,8,novelty,different_speaker,congruent,Sheep,0
adult_ex3,04fed82ca49cfa2215c360dc3b525832,1,novelty,same_speaker,incongruent,Beaver,0
adult_ex3,04fed82ca49cfa2215c360dc3b525832,2,novelty,same_speaker,congruent,Frog,1
adult_ex3,04fed82ca49cfa2215c360dc3b525832,3,novelty,different_speaker,incongruent,Pig,1
adult_ex3,04fed82ca49cfa2215c360dc3b525832,4,novelty,different_speaker,congruent,Sheep,0
adult_ex3,04fed82ca49cfa2215c360dc3b525832,5,novelty,different_speaker,congruent,Dog,0
adult_ex3,04fed82ca49cfa2215c360dc3b525832,6,novelty,same_speaker,congruent,Elephant,1
adult_ex3,04fed82ca49cfa2215c360dc3b525832,7,novelty,same_speaker,incongruent,Cat,0
adult_ex3,04fed82ca49cfa2215c360dc3b525832,8,novelty,different_speaker,incongruent,Monkey,1
adult_ex3,10d74dd61a557b56ab2540eb6252e94d,1,novelty,different_speaker,congruent,Dog,0
adult_ex3,10d74dd61a557b56ab2540eb6252e94d,2,novelty,different_speaker,congruent,Cat,1
adult_ex3,10d74dd61a557b56ab2540eb6252e94d,3,novelty,same_speaker,incongruent,Mouse,0
adult_ex3,10d74dd61a557b56ab2540eb6252e94d,4,novelty,different_speaker,incongruent,Sheep,0
adult_ex3,10d74dd61a557b56ab2540eb6252e94d,5,novelty,same_speaker,incongruent,Frog,0
adult_ex3,10d74dd61a557b56ab2540eb6252e94d,6,novelty,different_speaker,incongruent,Tiger,1
adult_ex3,10d74dd61a557b56ab2540eb6252e94d,7,novelty,same_speaker,congruent,Bear,1
adult_ex3,10d74dd61a557b56ab2540eb6252e94d,8,novelty,same_speaker,congruent,Bunny,0
adult_ex3,116afa2a9bd9b80085aef91c57ec75a1,1,novelty,different_speaker,incongruent,Frog,0
adult_ex3,116afa2a9bd9b80085aef91c57ec75a1,2,novelty,same_speaker,incongruent,Bear,0
adult_ex3,116afa2a9bd9b80085aef91c57ec75a1,3,novelty,different_speaker,congruent,Tiger,1
