experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,alignment,agent,correct_inf
adult_ex4,009f0672ad682fbca2a7e7827e21a9fb,1,novelty,strong,same_speaker,incongruent,Bunny,0
adult_ex4,009f0672ad682fbca2a7e7827e21a9fb,2,novelty,strong,different_speaker,incongruent,Sheep,1
adult_ex4,009f0672ad682fbca2a7e7827e21a9fb,3,novelty,strong,same_speaker,incongruent,Tiger,0
adult_ex4,009f0672ad682fbca2a7e7827e21a9fb,4,novelty,strong,different_speaker,incongruent,Beaver,0
adult_ex4,009f0672ad682fbca2a7e7827e21a9fb,5,novelty,strong,same_speaker,congruent,Mouse,1
adult_ex4,009f0672ad682fbca2a7e7827e21a9fb,6,novelty,strong,different_speaker,congruent,Frog,0
adult_ex4,009f0672ad682fbca2a7e7827e21a9fb,7,novelty,strong,different_speaker,congruent,Cat,1
adult_ex4,009f0672ad682fbca2a7e7827e21a9fb,8,novelty,strong,same_speaker,congruent,Monkey,1
adult_ex4,0113f968e7f89aefa6d1e8953c64bce3,1,novelty,strong,different_speaker,congruent,Frog,0
adult_ex4,0113f968e7f89aefa6d1e8953c64bce3,2,novelty,strong,different_speaker,incongruent,Pig,1
adult_ex4,0113f968e7f89aefa6d1e8953c64bce3,3,novelty,strong,different_speaker,congruent,Bunny,0
adult_ex4,0113f968e7f89aefa6d1e8953c64bce3,4,novelty,strong,same_speaker,incongruent,Mouse,0
adult_ex4,0113f968e7f89aefa6d1e8953c64bce3,5,novelty,strong,same_speaker,congruent,Sheep,0
adult_ex4,0113f968e7f89aefa6d1e8953c64bce3,6,novelty,strong,different_speaker,incongruent,Bear,1
adult_ex4,0113f968e7f89aefa6d1e8953c64bce3,7,novelty,strong,same_speaker,incongruent,Dog,0
adult_ex4,0113f968e7f89aefa6d1e8953c64bce3,8,novelty,strong,same_speaker,congruent,Elephant,0
adult_ex4,0ae78dcd82525514e46c0981d172b41d,1,novelty,strong,different_speaker,incongruent,Bunny,0
adult_ex4,0ae78dcd82525514e46c0981d172b41d,2,novelty,strong,different_speaker,congruent,Cat,1
adult_ex4,0ae78dcd82525514e46c0981d172b41d,3,novelty,strong,different_speaker,incongruent,Beaver,1
adult_ex4,0ae78dcd82525514e46c0981d172b41d,4,novelty,strong,different_speaker,congruent,Monkey,1
adult_ex4,0ae78dcd82525514e46c0981d172b41d,5,novelty,strong,same_speaker,congruent,Tiger,0
adult_ex4,0ae78dcd82525514e46c0981d172b41d,6,novelty,strong,same_speaker,incongruent,Pig,0
adult_ex4,0ae78dcd82525514e46c0981d172b41d,7,novelty,strong,same_speaker,incongruent,Elephant,0
adult_ex4,0ae78dcd82525514e46c0981d172b41d,8,novelty,strong,same_speaker,congruent,Bear,1
adult_ex4,0ed8dff8ccad72e3d31163d3b895d8f4,1,novelty,strong,same_speaker,congruent,Dog,1
adult_ex4,0ed8dff8ccad72e3d31163d3b895d8f4,2,novelty,strong,different_speaker,congruent,Monkey,1
adult_ex4,0ed8dff8ccad72e3d31163d3b895d8f4,3,novelty,strong,different_speaker,incongruent,Pig,1
adult_ex4,0ed8dff8ccad72e3d31163d3b895d8f4,4,novelty,strong,same_speaker,incongruent,Mouse,1
adult_ex4,0ed8dff8ccad72e3d31163d3b895d8f4,5,novelty,strong,same_speaker,congruent,Sheep,1
adult_ex4,0ed8dff8ccad72e3d31163d3b895d8f4,6,novelty,strong,different_speaker,incongruent,Cat,1
adult_ex4,0ed8dff8ccad72e3d31163d3b895d8f4,7,novelty,strong,different_speaker,congruent,Beaver,1
adult_ex4,0ed8dff8ccad72e3d31163d3b895d8f4,8,novelty,strong,same_speaker,incongruent,Bear,1
adult_ex4,144e43842dcee31fbdc578f5d657ab54,1,novelty,strong,different_speaker,incongruent,Bunny,1
adult_ex4,144e43842dcee31fbdc578f5d657ab54,2,novelty,strong,different_speaker,incongruent,Elephant,0
adult_ex4,144e43842dcee31fbdc578f5d657ab54,3,novelty,strong,different_speaker,congruent,Cat,1
adult_ex4,144e43842dcee31fbdc578f5d657ab54,4,novelty,strong,same_speaker,incongruent,Bear,1
adult_ex4,144e43842dcee31fbdc578f5d657ab54,5,novelty,strong,same_speaker,congruent,Monkey,0
adult_ex4,144e43842dcee31fbdc578f5d657ab54,6,novelty,strong,same_speaker,congruent,Pig,0
adult_ex4,144e43842dcee31fbdc578f5d657ab54,7,novelty,strong,different_speaker,congruent,Mouse,0
adult_ex4,144e43842dcee31fbdc578f5d657ab54,8,novelty,strong,same_speaker,incongruent,Sheep,1
adult_ex4,16d7557acec1a72326b838a3a8caf9b3,1,novelty,strong,different_speaker,congruent,Elephant,1
adult_ex4,16d7557acec1a72326b838a3a8caf9b3,2,novelty,strong,different_speaker,incongruent,Mouse,0
adult_ex4,16d7557acec1a72326b838a3a8caf9b3,3,novelty,strong,different_speaker,incongruent,Tiger,1
adult_ex4,16d7557acec1a72326b838a3a8caf9b3,4,novelty,strong,same_speaker,incongruent,Pig,1
