experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,agent,correct
adult_ex4_prior,006b105fb661bbebe6d2ec5cf235cc23,1,novelty,strong,same_speaker,Monkey,0
adult_ex4_prior,006b105fb661bbebe6d2ec5cf235cc23,2,novelty,strong,different_speaker,Monkey,0
adult_ex4_prior,006b105fb661bbebe6d2ec5cf235cc23,3,novelty,strong,same_speaker,Sheep,0
adult_ex4_prior,006b105fb661bbebe6d2ec5cf235cc23,4,novelty,strong,different_speaker,Sheep,0
adult_ex4_prior,006b105fb661bbebe6d2ec5cf235cc23,5,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,006b105fb661bbebe6d2ec5cf235cc23,6,novelty,strong,different_speaker,Frog,0
adult_ex4_prior,053e09b362f4f04ea337feb33dffc47c,1,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,053e09b362f4f04ea337feb33dffc47c,2,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,053e09b362f4f04ea337feb33dffc47c,3,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,053e09b362f4f04ea337feb33dffc47c,4,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,053e09b362f4f04ea337feb33dffc47c,5,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,053e09b362f4f04ea337feb33dffc47c,6,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,1436ebe9e351c2708949c2056d5b8a8a,1,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,1436ebe9e351c2708949c2056d5b8a8a,2,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,1436ebe9e351c2708949c2056d5b8a8a,3,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,1436ebe9e351c2708949c2056d5b8a8a,4,novelty,strong,different_speaker,Monkey,0
adult_ex4_prior,1436ebe9e351c2708949c2056d5b8a8a,5,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,1436ebe9e351c2708949c2056d5b8a8a,6,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,19766ea18a38a221fda8e638f7490aa0,1,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,19766ea18a38a221fda8e638f7490aa0,2,novelty,strong,same_speaker,Bunny,0
adult_ex4_prior,19766ea18a38a221fda8e638f7490aa0,3,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,19766ea18a38a221fda8e638f7490aa0,4,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,19766ea18a38a221fda8e638f7490aa0,5,novelty,strong,same_speaker,Sheep,1
adult_ex4_prior,19766ea18a38a221fda8e638f7490aa0,6,novelty,strong,different_speaker,Sheep,0
adult_ex4_prior,1c4cad057ed670763e0d1ae4134fc22d,1,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,1c4cad057ed670763e0d1ae4134fc22d,2,novelty,strong,same_speaker,Frog,0
adult_ex4_prior,1c4cad057ed670763e0d1ae4134fc22d,3,novelty,strong,different_speaker,Frog,0
adult_ex4_prior,1c4cad057ed670763e0d1ae4134fc22d,4,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,1c4cad057ed670763e0d1ae4134fc22d,5,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,1c4cad057ed670763e0d1ae4134fc22d,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,1eac4820996d9da290ba5c0a2bc89eb7,1,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,1eac4820996d9da290ba5c0a2bc89eb7,2,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,1eac4820996d9da290ba5c0a2bc89eb7,3,novelty,strong,different_speaker,Frog,0
