experiment,id,age_bin,age_num,trial,speaker,alignment,agent,correct_inf
child_ex3,181112_4_ex3p,3,3.9214611872146117,1,same_speaker,congruent,Elephant,0
child_ex3,181112_4_ex3p,3,3.9214611872146117,2,different_speaker,incongruent,Dog,1
child_ex3,181112_4_ex3p,3,3.9214611872146117,3,same_speaker,incongruent,Monkey,0
child_ex3,181112_4_ex3p,3,3.9214611872146117,4,different_speaker,congruent,Pig,0
child_ex3,181112_5_ex3p,3,3.710502283105023,1,different_speaker,incongruent,Monkey,1
child_ex3,181112_5_ex3p,3,3.710502283105023,2,same_speaker,congruent,Frog,0
child_ex3,181112_5_ex3p,3,3.710502283105023,3,different_speaker,congruent,Bunny,0
child_ex3,181112_5_ex3p,3,3.710502283105023,4,same_speaker,incongruent,Sheep,0
child_ex3,181112_5_ex3p,3,3.710502283105023,5,same_speaker,incongruent,Beaver,0
child_ex3,181112_5_ex3p,3,3.710502283105023,6,different_speaker,congruent,Mouse,0
child_ex3,181112_5_ex3p,3,3.710502283105023,7,different_speaker,incongruent,Bear,1
child_ex3,181112_5_ex3p,3,3.710502283105023,8,same_speaker,congruent,Cat,0
child_ex3,181112_6_ex3p,3,3.7077625570776256,1,different_speaker,incongruent,Tiger,0
child_ex3,181112_6_ex3p,3,3.7077625570776256,2,different_speaker,congruent,Bear,1
child_ex3,181112_6_ex3p,3,3.7077625570776256,3,same_speaker,incongruent,Beaver,1
child_ex3,181112_6_ex3p,3,3.7077625570776256,4,same_speaker,congruent,Frog,1
child_ex3,181112_6_ex3p,3,3.7077625570776256,5,different_speaker,incongruent,Pig,0
child_ex3,181112_6_ex3p,3,3.7077625570776256,6,same_speaker,congruent,Sheep,0
child_ex3,181112_6_ex3p,3,3.7077625570776256,7,same_speaker,incongruent,Mouse,1
child_ex3,181112_6_ex3p,3,3.7077625570776256,8,different_speaker,congruent,Monkey,0
child_ex3,181112_7_ex3p,3,3.4968036529680364,1,same_speaker,congruent,Beaver,1
child_ex3,181112_7_ex3p,3,3.4968036529680364,2,different_speaker,congruent,Bunny,1
child_ex3,181112_7_ex3p,3,3.4968036529680364,3,different_speaker,incongruent,Sheep,1
child_ex3,181112_7_ex3p,3,3.4968036529680364,4,same_speaker,incongruent,Cat,0
child_ex3,181112_7_ex3p,3,3.4968036529680364,5,same_speaker,incongruent,Tiger,1
child_ex3,181112_7_ex3p,3,3.4968036529680364,6,different_speaker,congruent,Pig,1
child_ex3,181112_7_ex3p,3,3.4968036529680364,7,different_speaker,incongruent,Dog,1
child_ex3,181112_7_ex3p,3,3.4968036529680364,8,same_speaker,congruent,Monkey,1
child_ex3,181112_8_ex3p,4,4.209132420091324,1,same_speaker,incongruent,Dog,1
child_ex3,181112_8_ex3p,4,4.209132420091324,2,different_speaker,congruent,Tiger,1
child_ex3,181112_8_ex3p,4,4.209132420091324,3,same_speaker,congruent,Frog,1
child_ex3,181112_8_ex3p,4,4.209132420091324,4,different_speaker,incongruent,Cat,1
child_ex3,181112_9_ex3p,3,3.3296803652968037,1,same_speaker,incongruent,Bunny,1
child_ex3,181112_9_ex3p,3,3.3296803652968037,2,different_speaker,incongruent,Tiger,1
child_ex3,181112_9_ex3p,3,3.3296803652968037,3,same_speaker,congruent,Sheep,0
child_ex3,181112_9_ex3p,3,3.3296803652968037,4,different_speaker,congruent,Cat,1
child_ex3,181112_9_ex3p,3,3.3296803652968037,5,different_speaker,congruent,Mouse,0
child_ex3,181112_9_ex3p,3,3.3296803652968037,6,same_speaker,congruent,Beaver,1
child_ex3,181112_9_ex3p,3,3.3296803652968037,7,same_speaker,incongruent,Pig,0
child_ex3,181112_9_ex3p,3,3.3296803652968037,8,different_speaker,incongruent,Frog,0
child_ex3,181114_1_ex3p,3,3.6721461187214612,1,same_speaker,incongruent,Bear,0
child_ex3,181114_1_ex3p,3,3.6721461187214612,2,different_speaker,congruent,Dog,1
child_ex3,181114_1_ex3p,3,3.6721461187214612,3,same_speaker,congruent,Tiger,1
child_ex3,181114_1_ex3p,3,3.6721461187214612,4,different_speaker,incongruent,Monkey,0
child_ex3,181114_2_ex3p,3,3.606392694063927,1,different_speaker,congruent,Cat,1
child_ex3,181114_2_ex3p,3,3.606392694063927,2,same_speaker,congruent,Dog,1
child_ex3,181114_2_ex3p,3,3.606392694063927,3,different_speaker,incongruent,Frog,1
child_ex3,181114_2_ex3p,3,3.606392694063927,4,same_speaker,incongruent,Bunny,1
child_ex3,181114_3_ex3p,4,4.461187214611872,1,same_speaker,incongruent,Monkey,1
child_ex3,181114_3_ex3p,4,4.461187214611872,2,different_speaker,incongruent,Sheep,1
child_ex3,181114_3_ex3p,4,4.461187214611872,3,same_speaker,congruent,Bunny,0
child_ex3,181114_3_ex3p,4,4.461187214611872,4,different_speaker,congruent,Elephant,0
child_ex3,181114_4_ex3p,4,4.578995433789954,1,different_speaker,congruent,Cat,0
child_ex3,181114_4_ex3p,4,4.578995433789954,2,different_speaker,incongruent,Sheep,0
child_ex3,181114_4_ex3p,4,4.578995433789954,3,same_speaker,incongruent,Beaver,1
child_ex3,181114_4_ex3p,4,4.578995433789954,4,same_speaker,congruent,Bear,1
child_ex3,181114_4_ex3p,4,4.578995433789954,5,different_speaker,congruent,Monkey,0
child_ex3,181114_4_ex3p,4,4.578995433789954,6,same_speaker,congruent,Mouse,1
child_ex3,181114_4_ex3p,4,4.578995433789954,7,different_speaker,incongruent,Tiger,0
child_ex3,181114_4_ex3p,4,4.578995433789954,8,same_speaker,incongruent,Pig,1
child_ex3,181114_5_ex3p,3,3.565296803652968,1,same_speaker,incongruent,Beaver,1
child_ex3,181114_5_ex3p,3,3.565296803652968,2,different_speaker,congruent,Frog,1
child_ex3,181114_5_ex3p,3,3.565296803652968,3,different_speaker,incongruent,Monkey,0
child_ex3,181114_5_ex3p,3,3.565296803652968,4,same_speaker,congruent,Dog,1
child_ex3,181114_6_ex3p,3,3.461187214611872,1,same_speaker,incongruent,Mouse,1
