"","id","alltrial","experiment","agent","altAgent","rightFruit","leftFruit","corObjInf","corObjPrior","pick","prior","inf","trial","alignment","change","rt","correct_inf","correct_prior"
"1","007dd87678a682538ff38f282e9b2c3c","1","novel_inf","Elephant","Frog","bear","car","car","car","car","left","left","train1","congruent","same",14347,1,1
"2","007dd87678a682538ff38f282e9b2c3c","2","novel_inf","Pig","Frog","ball","duck","ball","ball","ball","right","right","train2","congruent","same",9953,1,1
"3","007dd87678a682538ff38f282e9b2c3c","3","novel_inf","Dog","Frog","t3","t18","t3","t18","t18","left","right","1","incongruent","diff",15474,0,1
"4","007dd87678a682538ff38f282e9b2c3c","4","novel_inf","Bear","Cat","t14","t4","t4","t4","t4","right","right","2","congruent","same",12337,1,1
"5","007dd87678a682538ff38f282e9b2c3c","5","novel_inf","Monkey","Cat","t10","t12","t10","t10","t10","left","left","3","congruent","diff",12970,1,1
"6","007dd87678a682538ff38f282e9b2c3c","6","novel_inf","Tiger","Sheep","t8","t17","t17","t8","t8","left","right","4","incongruent","same",12017,0,1
"7","007dd87678a682538ff38f282e9b2c3c","7","novel_inf","Beaver","Sheep","t5","t1","t1","t1","t5","right","right","5","congruent","diff",11851,0,0
"8","007dd87678a682538ff38f282e9b2c3c","8","novel_inf","Bunny","Elephant","t7","t11","t11","t7","t7","right","left","6","incongruent","same",12249,0,1
"9","007dd87678a682538ff38f282e9b2c3c","9","novel_inf","Pig","Elephant","t6","t15","t15","t15","t6","left","left","7","congruent","same",12745,0,0
"10","007dd87678a682538ff38f282e9b2c3c","10","novel_inf","Mouse","Elephant","t13","t9","t13","t9","t9","right","left","8","incongruent","diff",12897,0,1
"11","0414f913ff018566360a44381e81e9e6","1","novel_inf","Elephant","Cat","bear","car","car","car","car","left","left","train1","congruent","same",17834,1,1
"12","0414f913ff018566360a44381e81e9e6","2","novel_inf","Pig","Cat","ball","duck","ball","ball","ball","right","right","train2","congruent","same",9410,1,1
"13","0414f913ff018566360a44381e81e9e6","3","novel_inf","Pig","Cat","t1","t14","t14","t14","t14","left","left","1","congruent","same",13456,1,1
"14","0414f913ff018566360a44381e81e9e6","4","novel_inf","Elephant","Cat","t2","t8","t2","t8","t8","left","right","2","incongruent","same",13480,0,1
"15","0414f913ff018566360a44381e81e9e6","5","novel_inf","Frog","Cat","t5","t11","t5","t5","t5","right","right","3","congruent","diff",11878,1,1
"16","0414f913ff018566360a44381e81e9e6","6","novel_inf","Mouse","Bear","t3","t10","t3","t10","t3","right","left","4","incongruent","diff",11076,1,0
