"","id","alltrial","experiment","agent","altAgent","rightFruit","leftFruit","corObjInf","corObjPrior","pick","prior","inf","trial","alignment","change","rt","correct_inf","correct_prior"
"1","00d9b6017536b44e1a850bc1d36fd4f3","1","pref_inf","Elephant","Elephant","bear","car","car","car","car","left","left","train1","congruent","same",10625,1,1
"2","00d9b6017536b44e1a850bc1d36fd4f3","2","pref_inf","Pig","Elephant","ball","duck","ball","ball","ball","right","right","train2","congruent","same",7572,1,1
"3","00d9b6017536b44e1a850bc1d36fd4f3","3","pref_inf","Monkey","Elephant","t4","t8","t4","t4","t4","right","right","1","congruent","same",9017,1,1
"4","00d9b6017536b44e1a850bc1d36fd4f3","4","pref_inf","Mouse","Elephant","t3","t2","t2","t3","t2","right","left","2","incongruent","same",7165,1,0
"5","00d9b6017536b44e1a850bc1d36fd4f3","5","pref_inf","Frog","Elephant","t10","t12","t12","t12","t12","left","left","3","congruent","diff",7231,1,1
"6","00d9b6017536b44e1a850bc1d36fd4f3","6","pref_inf","Dog","Cat","t9","t11","t9","t11","t11","left","right","4","incongruent","same",12453,0,1
"7","00d9b6017536b44e1a850bc1d36fd4f3","7","pref_inf","Bunny","Cat","t17","t5","t5","t5","t5","left","left","5","congruent","same",7108,1,1
"8","00d9b6017536b44e1a850bc1d36fd4f3","8","pref_inf","Pig","Cat","t14","t7","t14","t7","t7","left","right","6","incongruent","diff",8035,0,1
"9","00d9b6017536b44e1a850bc1d36fd4f3","9","pref_inf","Sheep","Beaver","t15","t6","t6","t15","t6","right","left","7","incongruent","diff",12189,1,0
"10","00d9b6017536b44e1a850bc1d36fd4f3","10","pref_inf","Tiger","Bear","t18","t16","t18","t18","t16","right","right","8","congruent","diff",11732,0,0
"11","03ce4d522442ad968f9d940c7e8af724","1","pref_inf","Elephant","Dog","bear","car","car","car","car","left","left","train1","congruent","same",8700,1,1
"12","03ce4d522442ad968f9d940c7e8af724","2","pref_inf","Pig","Dog","ball","duck","ball","ball","ball","right","right","train2","congruent","same",11244,1,1
"13","03ce4d522442ad968f9d940c7e8af724","3","pref_inf","Beaver","Dog","t6","t2","t6","t6","t6","right","right","1","congruent","same",11794,1,1
"14","03ce4d522442ad968f9d940c7e8af724","4","pref_inf","Tiger","Dog","t8","t1","t1","t8","t8","right","left","2","incongruent","same",12549,0,1
"15","03ce4d522442ad968f9d940c7e8af724","5","pref_inf","Bear","Dog","t7","t17","t17","t17","t7","left","left","3","congruent","diff",11830,0,0
"16","03ce4d522442ad968f9d940c7e8af724","6","pref_inf","Pig","Bunny","t11","t4","t4","t11","t4","right","left","4","incongruent","diff",12559,1,0
"17","03ce4d522442ad968f9d940c7e8af724","7","pref_inf","Frog","Cat","t13","t10","t13","t10","t10","left","right","5","incongruent","same",8240,0,1
"18","03ce4d522442ad968f9d940c7e8af724","8","pref_inf","Elephant","Cat","t3","t12","t3","t12","t12","left","right","6","incongruent","diff",10089,0,1
"19","03ce4d522442ad968f9d940c7e8af724","9","pref_inf","Mouse","Sheep","t9","t15","t9","t9","t9","right","right","7","congruent","diff",11189,1,1
"20","03ce4d522442ad968f9d940c7e8af724","10","pref_inf","Monkey",NA,"t5","t14","t14","t14","t14","left","left","8","congruent","same",7045,1,1
"21","099cb4053ae9682059cfde1e95489248","1","pref_inf","Elephant","Bear","bear","car","car","car","car","left","left","train1","congruent","same",13010,1,1
"22","099cb4053ae9682059cfde1e95489248","2","pref_inf","Pig","Bear","ball","duck","ball","ball","ball","right","right","train2","congruent","same",10397,1,1
"23","099cb4053ae9682059cfde1e95489248","3","pref_inf","Sheep","Bear","t16","t14","t14","t14","t14","left","left","1","congruent","same",13618,1,1
"24","099cb4053ae9682059cfde1e95489248","4","pref_inf","Frog","Bear","t10","t9","t10","t9","t9","left","right","2","incongruent","same",14545,0,1
"25","099cb4053ae9682059cfde1e95489248","5","pref_inf","Dog","Bear","t4","t2","t4","t4","t4","right","right","3","congruent","diff",13249,1,1
"26","099cb4053ae9682059cfde1e95489248","6","pref_inf","Cat","Monkey","t5","t12","t12","t5","t5","right","left","4","incongruent","diff",14107,0,1
"27","099cb4053ae9682059cfde1e95489248","7","pref_inf","Mouse","Tiger","t6","t13","t6","t13","t13","left","right","5","incongruent","diff",17067,0,1
"28","099cb4053ae9682059cfde1e95489248","8","pref_inf","Pig","Beaver","t8","t7","t8","t8","t8","right","right","6","congruent","same",13583,1,1
"29","099cb4053ae9682059cfde1e95489248","9","pref_inf","Elephant","Beaver","t11","t17","t17","t11","t11","right","left","7","incongruent","same",14623,0,1
"30","099cb4053ae9682059cfde1e95489248","10","pref_inf","Bunny","Beaver","t18","t1","t1","t1","t1","left","left","8","congruent","diff",13644,1,1
"31","09f9391becf725083d9946f5d735b1d7","1","pref_inf","Elephant","Tiger","bear","car","car","car","car","left","left","train1","congruent","same",13491,1,1
"32","09f9391becf725083d9946f5d735b1d7","2","pref_inf","Pig","Tiger","ball","duck","ball","ball","ball","right","right","train2","congruent","same",10995,1,1
"33","09f9391becf725083d9946f5d735b1d7","3","pref_inf","Pig","Tiger","t15","t12","t15","t15","t15","right","right","1","congruent","same",17202,1,1
"34","09f9391becf725083d9946f5d735b1d7","4","pref_inf","Dog","Tiger","t9","t10","t10","t9","t10","right","left","2","incongruent","same",41937,1,0
"35","09f9391becf725083d9946f5d735b1d7","5","pref_inf","Cat","Tiger","t2","t11","t11","t2","t11","right","left","3","incongruent","diff",14427,1,0
"36","09f9391becf725083d9946f5d735b1d7","6","pref_inf","Monkey","Frog","t1","t3","t1","t3","t1","left","right","4","incongruent","same",13730,1,0
"37","09f9391becf725083d9946f5d735b1d7","7","pref_inf","Elephant","Frog","t5","t6","t6","t6","t6","left","left","5","congruent","same",13586,1,1
"38","09f9391becf725083d9946f5d735b1d7","8","pref_inf","Bear","Frog","t13","t18","t13","t13","t18","right","right","6","congruent","diff",16744,0,0
