"","alltrial","subid","age","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct","targetObj","age_num"
"1","1","180810_11_nov","3","novelty new","Elephant","Dog","car","bear","car","left","train","false",21331,1,"car",3.1013698630137
"2","2","180810_11_nov","3","novelty new","Pig","Dog","duck","ball","ball","right","train","false",11737,1,"ball",3.1013698630137
"3","3","180810_11_nov","3","novelty new","Sheep","Dog","t17","t11","t11","left","1","true",16363,0,"t17",3.1013698630137
"4","4","180810_11_nov","3","novelty new","Bunny","Mouse","t7","t16","t7","right","2","false",18485,0,"t16",3.1013698630137
"5","5","180810_11_nov","3","novelty new","Beaver","Mouse","t3","t8","t3","right","3","true",16802,0,"t8",3.1013698630137
"6","6","180810_11_nov","3","novelty new","Frog","Monkey","t10","t2","t10","left","4","false",10734,1,"t10",3.1013698630137
"7","7","180810_11_nov","3","novelty new","Tiger","Monkey","t5","t12","t5","right","5","true",14912,0,"t12",3.1013698630137
"8","8","180810_11_nov","3","novelty new","Pig","Bear","t4","t15","t4","left","6","false",16489,1,"t4",3.1013698630137
"9","9","180810_11_nov","3","novelty new","Cat","Bear","t9","t6","t6","right","7","true",14589,1,"t6",3.1013698630137
"10","10","180810_11_nov","3","novelty new","Elephant",NA,"t1","t14","t14","left","8","false",11254,0,"t1",3.1013698630137
"11","1","180810_12_nov","4","novelty new","Elephant","Frog","car","bear","bear","left","train","false",12102,0,"car",4.70958904109589
"12","2","180810_12_nov","4","novelty new","Pig","Frog","duck","ball","ball","right","train","false",12325,1,"ball",4.70958904109589
"13","3","180810_12_nov","4","novelty new","Elephant","Frog","t1","t9","t9","right","1","false",14226,1,"t9",4.70958904109589
"14","4","180810_12_nov","4","novelty new","Beaver","Frog","t3","t11","t11","left","2","true",16056,0,"t3",4.70958904109589
"15","5","180810_12_nov","4","novelty new","Cat","Pig","t16","t12","t12","right","3","false",15171,1,"t12",4.70958904109589
"16","6","180810_12_nov","4","novelty new","Tiger","Pig","t6","t8","t6","left","4","true",16774,1,"t6",4.70958904109589
"17","7","180810_12_nov","4","novelty new","Sheep","Bunny","t15","t7","t7","right","5","true",14985,1,"t7",4.70958904109589
"18","8","180810_12_nov","4","novelty new","Bear","Monkey","t14","t10","t14","left","6","false",13540,1,"t14",4.70958904109589
"19","9","180810_12_nov","4","novelty new","Dog","Monkey","t4","t5","t5","right","7","true",14771,1,"t5",4.70958904109589
"20","10","180810_12_nov","4","novelty new","Mouse",NA,"t2","t17","t2","left","8","false",12691,1,"t2",4.70958904109589
"21","1","180810_13_nov","3","novelty new","Elephant","Tiger","car","bear","car","left","train","false",12914,1,"car",3.8958904109589
"22","2","180810_13_nov","3","novelty new","Pig","Tiger","duck","ball","ball","right","train","false",10523,1,"ball",3.8958904109589
"23","3","180810_13_nov","3","novelty new","Frog","Tiger","t4","t5","t5","right","1","false",19628,1,"t5",3.8958904109589
"24","4","180810_13_nov","3","novelty new","Mouse","Tiger","t7","t15","t15","right","2","true",17162,1,"t15",3.8958904109589
"25","5","180810_13_nov","3","novelty new","Beaver","Elephant","t1","t9","t1","left","3","false",14229,1,"t1",3.8958904109589
"26","6","180810_13_nov","3","novelty new","Bear","Elephant","t8","t11","t11","left","4","true",15491,0,"t8",3.8958904109589
