alltrial,subid,age,condition,agent,altAgent,leftObject,rightObject,pick,target,trial,change,rt,correct,targetObj,age_num,X,trial_type
1,180405_1_pref,2,preference,Elephant,Pig,car,bear,car,left,train,false,10127,1,car,2.80547945205479,NA,train
2,180405_1_pref,2,preference,Pig,Pig,duck,ball,ball,right,train,false,13182,1,ball,2.80547945205479,NA,train
3,180405_1_pref,2,preference,Monkey,Pig,t11,t8,t11,left,1,false,10923,1,t11,2.80547945205479,NA,test
4,180405_1_pref,2,preference,Sheep,Pig,t2,t6,t6,left,2,true,15437,0,t2,2.80547945205479,NA,test
5,180405_1_pref,2,preference,Bunny,Frog,t4,t17,t17,right,3,true,17818,1,t17,2.80547945205479,NA,test
6,180405_1_pref,2,preference,Dog,Cat,t15,t16,t16,right,4,false,14294,1,t16,2.80547945205479,NA,test
7,180405_1_pref,2,preference,Bear,Cat,t3,t14,t14,right,5,false,13584,1,t14,2.80547945205479,NA,test
8,180405_1_pref,2,preference,Beaver,Cat,t7,t12,t7,left,6,true,13716,1,t7,2.80547945205479,NA,test
9,180405_1_pref,2,preference,Tiger,Mouse,t5,t10,t5,right,7,true,25414,0,t10,2.80547945205479,NA,test
10,180405_1_pref,2,preference,Elephant,NA,t1,t9,t1,left,8,false,16918,1,t1,2.80547945205479,NA,test
1,180419_1_pref,3,preference,Elephant,Beaver,car,bear,car,left,train,false,14084,1,car,3.68493150684932,NA,train
2,180419_1_pref,3,preference,Pig,Beaver,duck,ball,ball,right,train,false,10365,1,ball,3.68493150684932,NA,train
3,180419_1_pref,3,preference,Bunny,Beaver,t16,t4,t4,left,1,true,26251,0,t16,3.68493150684932,NA,test
4,180419_1_pref,3,preference,Pig,Dog,t17,t2,t2,left,2,false,13515,0,t17,3.68493150684932,NA,test
5,180419_1_pref,3,preference,Sheep,Dog,t1,t8,t8,right,3,true,14527,1,t8,3.68493150684932,NA,test
6,180419_1_pref,3,preference,Cat,Frog,t9,t12,t9,right,4,false,14962,0,t12,3.68493150684932,NA,test
7,180419_1_pref,3,preference,Mouse,Frog,t14,t11,t11,left,5,false,16230,0,t14,3.68493150684932,NA,test
8,180419_1_pref,3,preference,Tiger,Frog,t6,t15,t15,right,6,true,15100,1,t15,3.68493150684932,NA,test
9,180419_1_pref,3,preference,Bear,Elephant,t10,t3,t10,right,7,true,13789,0,t3,3.68493150684932,NA,test
10,180419_1_pref,3,preference,Monkey,NA,t5,t7,t7,left,8,false,14427,0,t5,3.68493150684932,NA,test
1,180420_1,3,preference,Elephant,Monkey,car,bear,car,left,train,false,13722,1,car,3.49041095890411,NA,train
2,180420_1,3,preference,Pig,Monkey,duck,ball,ball,right,train,false,10860,1,ball,3.49041095890411,NA,train
3,180420_1,3,preference,Beaver,Monkey,t16,t8,t8,right,1,false,12671,1,t8,3.49041095890411,NA,test
4,180420_1,3,preference,Bunny,Monkey,t17,t11,t11,right,2,true,12910,1,t11,3.49041095890411,NA,test
5,180420_1,3,preference,Elephant,Dog,t3,t2,t3,left,3,true,13753,1,t3,3.49041095890411,NA,test
6,180420_1,3,preference,Sheep,Tiger,t4,t5,t4,left,4,false,13179,1,t4,3.49041095890411,NA,test
7,180420_1,3,preference,Cat,Tiger,t14,t1,t1,right,5,false,13853,1,t1,3.49041095890411,NA,test
8,180420_1,3,preference,Frog,Tiger,t7,t12,t12,left,6,true,13652,0,t7,3.49041095890411,NA,test
9,180420_1,3,preference,Mouse,Bear,t9,t10,t9,right,7,true,10215,0,t10,3.49041095890411,NA,test
10,180420_1,3,preference,Pig,NA,t6,t15,t6,left,8,false,13658,1,t6,3.49041095890411,NA,test
1,180420_2_pref,4,preference,Elephant,Sheep,car,bear,car,left,train,false,11741,1,car,4.53972602739726,NA,train
2,180420_2_pref,4,preference,Pig,Sheep,duck,ball,ball,right,train,false,10318,1,ball,4.53972602739726,NA,train
3,180420_2_pref,4,preference,Frog,Sheep,t7,t5,t5,left,1,false,17848,0,t7,4.53972602739726,NA,test
4,180420_2_pref,4,preference,Pig,Sheep,t3,t10,t3,left,2,true,16939,1,t3,4.53972602739726,NA,test
5,180420_2_pref,4,preference,Elephant,Cat,t2,t15,t15,right,3,true,15214,1,t15,4.53972602739726,NA,test
6,180420_2_pref,4,preference,Beaver,Bear,t9,t14,t14,right,4,false,12978,1,t14,4.53972602739726,NA,test
7,180420_2_pref,4,preference,Mouse,Bear,t4,t11,t4,left,5,false,16048,1,t4,4.53972602739726,NA,test
8,180420_2_pref,4,preference,Tiger,Bear,t8,t1,t1,left,6,true,12323,0,t8,4.53972602739726,NA,test
9,180420_2_pref,4,preference,Dog,Bunny,t12,t17,t17,right,7,false,13486,1,t17,4.53972602739726,NA,test
10,180420_2_pref,4,preference,Monkey,Bunny,t16,t6,t16,right,8,true,13951,0,t6,4.53972602739726,NA,test
1,180420_3_pref,3,preference,Elephant,Pig,car,bear,car,left,train,false,11413,1,car,3.57808219178082,NA,train
2,180420_3_pref,3,preference,Pig,Pig,duck,ball,ball,right,train,false,10514,1,ball,3.57808219178082,NA,train
3,180420_3_pref,3,preference,Elephant,Pig,t2,t15,t15,left,1,true,34318,0,t2,3.57808219178082,NA,test
4,180420_3_pref,3,preference,Beaver,Monkey,t17,t14,t14,right,2,false,21206,1,t14,3.57808219178082,NA,test
5,180420_3_pref,3,preference,Frog,Monkey,t16,t5,t16,right,3,true,18616,0,t5,3.57808219178082,NA,test
6,180420_3_pref,3,preference,Bunny,Bear,t3,t11,t11,left,4,false,19378,0,t3,3.57808219178082,NA,test
7,180420_3_pref,3,preference,Cat,Bear,t4,t6,t6,left,5,true,17280,0,t4,3.57808219178082,NA,test
8,180420_3_pref,3,preference,Tiger,Mouse,t12,t8,t8,left,6,false,22753,0,t12,3.57808219178082,NA,test
9,180420_3_pref,3,preference,Dog,Mouse,t1,t7,t1,right,7,true,24341,0,t7,3.57808219178082,NA,test
10,180420_3_pref,3,preference,Sheep,NA,t10,t9,t9,right,8,false,14584,1,t9,3.57808219178082,NA,test
1,180420_4_pref,4,preference,Elephant,Elephant,car,bear,car,left,train,false,11147,1,car,4.12328767123288,NA,train
2,180420_4_pref,4,preference,Pig,Elephant,duck,ball,ball,right,train,false,10314,1,ball,4.12328767123288,NA,train
3,180420_4_pref,4,preference,Monkey,Elephant,t10,t6,t10,right,1,false,13979,0,t6,4.12328767123288,NA,test
4,180420_4_pref,4,preference,Bear,Elephant,t3,t2,t2,right,2,true,18201,1,t2,4.12328767123288,NA,test
5,180420_4_pref,4,preference,Beaver,Bunny,t16,t11,t11,right,3,true,14901,1,t11,4.12328767123288,NA,test
6,180420_4_pref,4,preference,Sheep,Mouse,t14,t12,t12,left,4,false,13494,0,t14,4.12328767123288,NA,test
7,180420_4_pref,4,preference,Pig,Mouse,t7,t1,t1,left,5,true,15183,0,t7,4.12328767123288,NA,test
8,180420_4_pref,4,preference,Cat,Dog,t17,t5,t5,right,6,false,14000,1,t5,4.12328767123288,NA,test
9,180420_4_pref,4,preference,Frog,Dog,t9,t15,t15,left,7,false,13784,0,t9,4.12328767123288,NA,test
10,180420_4_pref,4,preference,Tiger,Dog,t8,t4,t8,left,8,true,13468,1,t8,4.12328767123288,NA,test
1,180425_1_pref,3,preference,Elephant,Bunny,car,bear,car,left,train,false,13507,1,car,3.91232876712329,NA,train
2,180425_1_pref,3,preference,Pig,Bunny,duck,ball,ball,right,train,false,11470,1,ball,3.91232876712329,NA,train
3,180425_1_pref,3,preference,Beaver,Bunny,t4,t12,t12,right,1,true,15706,1,t12,3.91232876712329,NA,test
4,180425_1_pref,3,preference,Frog,Dog,t15,t17,t15,right,2,false,14917,0,t17,3.91232876712329,NA,test
5,180425_1_pref,3,preference,Mouse,Dog,t3,t11,t11,left,3,false,15169,0,t3,3.91232876712329,NA,test
6,180425_1_pref,3,preference,Cat,Dog,t14,t16,t16,left,4,true,15108,0,t14,3.91232876712329,NA,test
7,180425_1_pref,3,preference,Tiger,Bear,t9,t8,t8,right,5,true,14333,1,t8,3.91232876712329,NA,test
8,180425_1_pref,3,preference,Sheep,Pig,t7,t5,t5,left,6,false,12905,0,t7,3.91232876712329,NA,test
9,180425_1_pref,3,preference,Monkey,Pig,t2,t10,t10,left,7,true,13627,0,t2,3.91232876712329,NA,test
10,180425_1_pref,3,preference,Elephant,NA,t1,t6,t1,right,8,false,14271,0,t6,3.91232876712329,NA,test
1,180425_2_pref,4,preference,Elephant,Mouse,car,bear,car,left,train,false,10892,1,car,4.12328767123288,NA,train
2,180425_2_pref,4,preference,Pig,Mouse,duck,ball,ball,right,train,false,9915,1,ball,4.12328767123288,NA,train
3,180425_2_pref,4,preference,Bunny,Mouse,t2,t4,t4,left,1,false,14454,0,t2,4.12328767123288,NA,test
4,180425_2_pref,4,preference,Monkey,Mouse,t12,t3,t3,left,2,true,16452,0,t12,4.12328767123288,NA,test
5,180425_2_pref,4,preference,Beaver,Bear,t5,t14,t5,left,3,false,13232,1,t5,4.12328767123288,NA,test
6,180425_2_pref,4,preference,Elephant,Bear,t7,t15,t15,left,4,true,12856,0,t7,4.12328767123288,NA,test
7,180425_2_pref,4,preference,Sheep,Pig,t10,t6,t6,right,5,false,8387,1,t6,4.12328767123288,NA,test
8,180425_2_pref,4,preference,Tiger,Pig,t9,t11,t11,right,6,true,13706,1,t11,4.12328767123288,NA,test
9,180425_2_pref,4,preference,Cat,Frog,t8,t16,t8,right,7,true,13621,0,t16,4.12328767123288,NA,test
10,180425_2_pref,4,preference,Dog,NA,t17,t1,t1,right,8,false,13511,1,t1,4.12328767123288,NA,test
1,180425_3_pref,4,preference,Elephant,Bear,car,bear,car,left,train,false,12412,1,car,4.98904109589041,NA,train
2,180425_3_pref,4,preference,Pig,Bear,duck,ball,ball,right,train,false,10403,1,ball,4.98904109589041,NA,train
3,180425_3_pref,4,preference,Cat,Bear,t15,t1,t1,left,1,true,13566,0,t15,4.98904109589041,NA,test
4,180425_3_pref,4,preference,Mouse,Monkey,t7,t14,t14,right,2,false,20302,1,t14,4.98904109589041,NA,test
5,180425_3_pref,4,preference,Sheep,Monkey,t10,t6,t10,left,3,false,12913,1,t10,4.98904109589041,NA,test
6,180425_3_pref,4,preference,Pig,Monkey,t4,t5,t5,left,4,true,13070,0,t4,4.98904109589041,NA,test
7,180425_3_pref,4,preference,Beaver,Dog,t8,t12,t8,right,5,false,12567,0,t12,4.98904109589041,NA,test
