modelVariant,steps,iter,weight
flat prior noise,5000,0,-443.9405523387155
flat prior noise,5000,1,-443.9391297735756
flat prior noise,5000,2,-443.94480076803836
flat prior noise,5000,3,-443.8996522911243
flat prior noise,5000,4,-443.92176028184963
flat prior noise,5000,5,-443.89986552148827
flat prior noise,5000,6,-443.93325913272196
flat prior noise,5000,7,-443.9185758889235
flat prior noise,5000,8,-443.923539172909
flat prior noise,5000,9,-443.90129457525626
flat prior noise,5000,10,-443.92949963359797
flat prior noise,5000,11,-443.9269191811682
flat prior noise,5000,12,-443.90127516530686
