modelVariant,steps,iter,weight
flat prior parameter free,5000,0,-450.42130838453306
flat prior parameter free,5000,1,-450.42130838453306
flat prior parameter free,5000,2,-450.42130838453306
flat prior parameter free,5000,3,-450.42130838453306
flat prior parameter free,5000,4,-450.42130838453306
flat prior parameter free,5000,5,-450.42130838453306
flat prior parameter free,5000,6,-450.42130838453306
flat prior parameter free,5000,7,-450.42130838453306
flat prior parameter free,5000,8,-450.42130838453306
flat prior parameter free,5000,9,-450.42130838453306
flat prior parameter free,5000,10,-450.42130838453306
flat prior parameter free,5000,11,-450.42130838453306
flat prior parameter free,5000,12,-450.42130838453306
flat prior parameter free,5000,13,-450.42130838453306
flat prior parameter free,5000,14,-450.42130838453306
flat prior parameter free,5000,15,-450.42130838453306
flat prior parameter free,5000,16,-450.42130838453306
flat prior parameter free,5000,17,-450.42130838453306
flat prior parameter free,5000,18,-450.42130838453306
flat prior parameter free,5000,19,-450.42130838453306
flat prior parameter free,5000,20,-450.42130838453306
flat prior parameter free,5000,21,-450.42130838453306
flat prior parameter free,5000,22,-450.42130838453306
flat prior parameter free,5000,23,-450.42130838453306
flat prior parameter free,5000,24,-450.42130838453306
flat prior parameter free,5000,25,-450.42130838453306
flat prior parameter free,5000,26,-450.42130838453306
flat prior parameter free,5000,27,-450.42130838453306
flat prior parameter free,5000,28,-450.42130838453306
flat prior parameter free,5000,29,-450.42130838453306
flat prior parameter free,5000,30,-450.42130838453306
flat prior parameter free,5000,31,-450.42130838453306
flat prior parameter free,5000,32,-450.42130838453306
flat prior parameter free,5000,33,-450.42130838453306
flat prior parameter free,5000,34,-450.42130838453306
flat prior parameter free,5000,35,-450.42130838453306
flat prior parameter free,5000,36,-450.42130838453306
flat prior parameter free,5000,37,-450.42130838453306
flat prior parameter free,5000,38,-450.42130838453306
flat prior parameter free,5000,39,-450.42130838453306
flat prior parameter free,5000,40,-450.42130838453306
flat prior parameter free,5000,41,-450.42130838453306
flat prior parameter free,5000,42,-450.42130838453306
flat prior parameter free,5000,43,-450.42130838453306
flat prior parameter free,5000,44,-450.42130838453306
flat prior parameter free,5000,45,-450.42130838453306
flat prior parameter free,5000,46,-450.42130838453306
flat prior parameter free,5000,47,-450.42130838453306
flat prior parameter free,5000,48,-450.42130838453306
flat prior parameter free,5000,49,-450.42130838453306
flat prior parameter free,5000,50,-450.42130838453306
flat prior parameter free,5000,51,-450.42130838453306
flat prior parameter free,5000,52,-450.42130838453306
flat prior parameter free,5000,53,-450.42130838453306
flat prior parameter free,5000,54,-450.42130838453306
flat prior parameter free,5000,55,-450.42130838453306
flat prior parameter free,5000,56,-450.42130838453306
flat prior parameter free,5000,57,-450.42130838453306
flat prior parameter free,5000,58,-450.42130838453306
flat prior parameter free,5000,59,-450.42130838453306
flat prior parameter free,5000,60,-450.42130838453306
flat prior parameter free,5000,61,-450.42130838453306
flat prior parameter free,5000,62,-450.42130838453306
flat prior parameter free,5000,63,-450.42130838453306
flat prior parameter free,5000,64,-450.42130838453306
flat prior parameter free,5000,65,-450.42130838453306
flat prior parameter free,5000,66,-450.42130838453306
flat prior parameter free,5000,67,-450.42130838453306
flat prior parameter free,5000,68,-450.42130838453306
flat prior parameter free,5000,69,-450.42130838453306
flat prior parameter free,5000,70,-450.42130838453306
flat prior parameter free,5000,71,-450.42130838453306
flat prior parameter free,5000,72,-450.42130838453306
flat prior parameter free,5000,73,-450.42130838453306
flat prior parameter free,5000,74,-450.42130838453306
flat prior parameter free,5000,75,-450.42130838453306
flat prior parameter free,5000,76,-450.42130838453306
flat prior parameter free,5000,77,-450.42130838453306
flat prior parameter free,5000,78,-450.42130838453306
flat prior parameter free,5000,79,-450.42130838453306
flat prior parameter free,5000,80,-450.42130838453306
flat prior parameter free,5000,81,-450.42130838453306
flat prior parameter free,5000,82,-450.42130838453306
flat prior parameter free,5000,83,-450.42130838453306
flat prior parameter free,5000,84,-450.42130838453306
flat prior parameter free,5000,85,-450.42130838453306
flat prior parameter free,5000,86,-450.42130838453306
flat prior parameter free,5000,87,-450.42130838453306
flat prior parameter free,5000,88,-450.42130838453306
flat prior parameter free,5000,89,-450.42130838453306
flat prior parameter free,5000,90,-450.42130838453306
flat prior parameter free,5000,91,-450.42130838453306
flat prior parameter free,5000,92,-450.42130838453306
flat prior parameter free,5000,93,-450.42130838453306
flat prior parameter free,5000,94,-450.42130838453306
flat prior parameter free,5000,95,-450.42130838453306
flat prior parameter free,5000,96,-450.42130838453306
flat prior parameter free,5000,97,-450.42130838453306
flat prior parameter free,5000,98,-450.42130838453306
flat prior parameter free,5000,99,-450.42130838453306
