modelVariant,steps,iter,weight
integration noise,5000,0,-437.65674993106995
integration noise,5000,1,-437.5852757775192
integration noise,5000,2,-437.6016449350298
integration noise,5000,3,-437.5859888107785
integration noise,5000,4,-437.6284101008969
integration noise,5000,5,-437.62704084422376
integration noise,5000,6,-437.5833926970307
integration noise,5000,7,-437.65301307039545
integration noise,5000,8,-437.644222224897
integration noise,5000,9,-437.6280416277621
integration noise,5000,10,-437.607157634786
integration noise,5000,11,-437.58042764115106
integration noise,5000,12,-437.5950030714942
integration noise,5000,13,-437.55846533126805
integration noise,5000,14,-437.58148174844655
integration noise,5000,15,-437.61328401021103
integration noise,5000,16,-437.5624508883726
integration noise,5000,17,-437.6571164374984
integration noise,5000,18,-437.59576921029355
integration noise,5000,19,-437.5958414840398
integration noise,5000,20,-437.5781186195886
integration noise,5000,21,-437.5718696105137
integration noise,5000,22,-437.6266349800492
integration noise,5000,23,-437.60925854690333
integration noise,5000,24,-437.6170435338933
integration noise,5000,25,-437.6323960137708
integration noise,5000,26,-437.62512615435224
integration noise,5000,27,-437.62523175487974
integration noise,5000,28,-437.62334008793374
integration noise,5000,29,-437.6293901777138
integration noise,5000,30,-437.6451892596339
integration noise,5000,31,-437.60049173183654
integration noise,5000,32,-437.6120084722579
integration noise,5000,33,-437.5967184863936
integration noise,5000,34,-437.65152905183953
integration noise,5000,35,-437.6021049607392
integration noise,5000,36,-437.6024568060251
integration noise,5000,37,-437.6727701645327
integration noise,5000,38,-437.6024472032069
integration noise,5000,39,-437.5723548417032
integration noise,5000,40,-437.61554694694655
integration noise,5000,41,-437.60880017234393
integration noise,5000,42,-437.6414313543544
integration noise,5000,43,-437.6414710631722
integration noise,5000,44,-437.6140490473547
integration noise,5000,45,-437.65440539449395
integration noise,5000,46,-437.61844173469274
integration noise,5000,47,-437.6282349829596
integration noise,5000,48,-437.6172913656232
integration noise,5000,49,-437.61779256286053
integration noise,5000,50,-437.62282469134783
integration noise,5000,51,-437.6184915967273
integration noise,5000,52,-437.6162707594616
integration noise,5000,53,-437.6215618322122
integration noise,5000,54,-437.6038653826315
integration noise,5000,55,-437.6291887440246
integration noise,5000,56,-437.6155015930425
integration noise,5000,57,-437.5681628740624
integration noise,5000,58,-437.62182056020475
integration noise,5000,59,-437.59896011752215
integration noise,5000,60,-437.6122687095623
integration noise,5000,61,-437.57903342548565
integration noise,5000,62,-437.5365158946895
integration noise,5000,63,-437.6168293177339
integration noise,5000,64,-437.5941491863086
integration noise,5000,65,-437.57443090757954
integration noise,5000,66,-437.62983847302087
integration noise,5000,67,-437.61486702546637
integration noise,5000,68,-437.6268771847715
integration noise,5000,69,-437.61513117449095
integration noise,5000,70,-437.6188761255115
integration noise,5000,71,-437.6211986123907
integration noise,5000,72,-437.56172001943486
integration noise,5000,73,-437.6025804451616
integration noise,5000,74,-437.66364612100284
integration noise,5000,75,-437.59802339395065
integration noise,5000,76,-437.6541422809718
integration noise,5000,77,-437.6563775871124
integration noise,5000,78,-437.61302769245714
integration noise,5000,79,-437.66990081234337
integration noise,5000,80,-437.60517998402594
integration noise,5000,81,-437.63138678496193
integration noise,5000,82,-437.5818327616598
integration noise,5000,83,-437.64084944574677
integration noise,5000,84,-437.5829455080195
integration noise,5000,85,-437.5895215886524
integration noise,5000,86,-437.5832041465309
integration noise,5000,87,-437.6158335283847
integration noise,5000,88,-437.66901306321284
integration noise,5000,89,-437.62982589795297
integration noise,5000,90,-437.58906561289973
integration noise,5000,91,-437.6299525090431
integration noise,5000,92,-437.5985039067082
integration noise,5000,93,-437.61888989303736
integration noise,5000,94,-437.6155212847312
integration noise,5000,95,-437.658333072833
integration noise,5000,96,-437.5937188735775
integration noise,5000,97,-437.6098201243645
integration noise,5000,98,-437.5897373378392
integration noise,5000,99,-437.5914231025342
