modelVariant,steps,iter,weight
integration parameter free,5000,0,-444.61002952998166
integration parameter free,5000,1,-444.61002952998166
integration parameter free,5000,2,-444.61002952998166
integration parameter free,5000,3,-444.61002952998166
integration parameter free,5000,4,-444.61002952998166
integration parameter free,5000,5,-444.61002952998166
integration parameter free,5000,6,-444.61002952998166
integration parameter free,5000,7,-444.61002952998166
integration parameter free,5000,8,-444.61002952998166
integration parameter free,5000,9,-444.61002952998166
integration parameter free,5000,10,-444.61002952998166
integration parameter free,5000,11,-444.61002952998166
integration parameter free,5000,12,-444.61002952998166
integration parameter free,5000,13,-444.61002952998166
integration parameter free,5000,14,-444.61002952998166
integration parameter free,5000,15,-444.61002952998166
integration parameter free,5000,16,-444.61002952998166
integration parameter free,5000,17,-444.61002952998166
integration parameter free,5000,18,-444.61002952998166
integration parameter free,5000,19,-444.61002952998166
integration parameter free,5000,20,-444.61002952998166
integration parameter free,5000,21,-444.61002952998166
integration parameter free,5000,22,-444.61002952998166
integration parameter free,5000,23,-444.61002952998166
integration parameter free,5000,24,-444.61002952998166
integration parameter free,5000,25,-444.61002952998166
integration parameter free,5000,26,-444.61002952998166
integration parameter free,5000,27,-444.61002952998166
integration parameter free,5000,28,-444.61002952998166
integration parameter free,5000,29,-444.61002952998166
integration parameter free,5000,30,-444.61002952998166
integration parameter free,5000,31,-444.61002952998166
integration parameter free,5000,32,-444.61002952998166
integration parameter free,5000,33,-444.61002952998166
integration parameter free,5000,34,-444.61002952998166
integration parameter free,5000,35,-444.61002952998166
integration parameter free,5000,36,-444.61002952998166
integration parameter free,5000,37,-444.61002952998166
integration parameter free,5000,38,-444.61002952998166
integration parameter free,5000,39,-444.61002952998166
integration parameter free,5000,40,-444.61002952998166
integration parameter free,5000,41,-444.61002952998166
integration parameter free,5000,42,-444.61002952998166
integration parameter free,5000,43,-444.61002952998166
integration parameter free,5000,44,-444.61002952998166
integration parameter free,5000,45,-444.61002952998166
integration parameter free,5000,46,-444.61002952998166
integration parameter free,5000,47,-444.61002952998166
integration parameter free,5000,48,-444.61002952998166
integration parameter free,5000,49,-444.61002952998166
integration parameter free,5000,50,-444.61002952998166
integration parameter free,5000,51,-444.61002952998166
integration parameter free,5000,52,-444.61002952998166
integration parameter free,5000,53,-444.61002952998166
integration parameter free,5000,54,-444.61002952998166
integration parameter free,5000,55,-444.61002952998166
integration parameter free,5000,56,-444.61002952998166
integration parameter free,5000,57,-444.61002952998166
integration parameter free,5000,58,-444.61002952998166
integration parameter free,5000,59,-444.61002952998166
integration parameter free,5000,60,-444.61002952998166
integration parameter free,5000,61,-444.61002952998166
integration parameter free,5000,62,-444.61002952998166
integration parameter free,5000,63,-444.61002952998166
integration parameter free,5000,64,-444.61002952998166
integration parameter free,5000,65,-444.61002952998166
integration parameter free,5000,66,-444.61002952998166
integration parameter free,5000,67,-444.61002952998166
integration parameter free,5000,68,-444.61002952998166
integration parameter free,5000,69,-444.61002952998166
integration parameter free,5000,70,-444.61002952998166
integration parameter free,5000,71,-444.61002952998166
integration parameter free,5000,72,-444.61002952998166
integration parameter free,5000,73,-444.61002952998166
integration parameter free,5000,74,-444.61002952998166
integration parameter free,5000,75,-444.61002952998166
integration parameter free,5000,76,-444.61002952998166
integration parameter free,5000,77,-444.61002952998166
integration parameter free,5000,78,-444.61002952998166
integration parameter free,5000,79,-444.61002952998166
integration parameter free,5000,80,-444.61002952998166
integration parameter free,5000,81,-444.61002952998166
integration parameter free,5000,82,-444.61002952998166
integration parameter free,5000,83,-444.61002952998166
integration parameter free,5000,84,-444.61002952998166
integration parameter free,5000,85,-444.61002952998166
integration parameter free,5000,86,-444.61002952998166
integration parameter free,5000,87,-444.61002952998166
integration parameter free,5000,88,-444.61002952998166
integration parameter free,5000,89,-444.61002952998166
integration parameter free,5000,90,-444.61002952998166
integration parameter free,5000,91,-444.61002952998166
integration parameter free,5000,92,-444.61002952998166
integration parameter free,5000,93,-444.61002952998166
integration parameter free,5000,94,-444.61002952998166
integration parameter free,5000,95,-444.61002952998166
integration parameter free,5000,96,-444.61002952998166
integration parameter free,5000,97,-444.61002952998166
integration parameter free,5000,98,-444.61002952998166
integration parameter free,5000,99,-444.61002952998166
