modelVariant,steps,iter,weight
prior only noise,5000,0,-446.7424563449402
prior only noise,5000,1,-446.7092887086323
prior only noise,5000,2,-446.745133546028
prior only noise,5000,3,-446.73115592061464
prior only noise,5000,4,-446.50854042123234
prior only noise,5000,5,-446.71139892225966
prior only noise,5000,6,-446.4317083954251
prior only noise,5000,7,-446.7162174690981
prior only noise,5000,8,-446.6353177955741
prior only noise,5000,9,-446.60736948075294
prior only noise,5000,10,-446.71546094036654
prior only noise,5000,11,-446.6000615565658
prior only noise,5000,12,-446.60758004152177
prior only noise,5000,13,-446.6176483627139
prior only noise,5000,14,-446.82731668857394
prior only noise,5000,15,-446.76532860964517
prior only noise,5000,16,-446.45726732653475
prior only noise,5000,17,-446.34780324976657
prior only noise,5000,18,-446.4880391841068
prior only noise,5000,19,-446.5384001595449
prior only noise,5000,20,-446.380909170078
prior only noise,5000,21,-446.59721913609053
prior only noise,5000,22,-446.6039082468504
prior only noise,5000,23,-446.6347041606557
prior only noise,5000,24,-446.5154654908229
prior only noise,5000,25,-446.7421733793635
prior only noise,5000,26,-446.50653887571156
prior only noise,5000,27,-446.4492986197798
prior only noise,5000,28,-446.3717176652192
prior only noise,5000,29,-446.5901673344844
prior only noise,5000,30,-446.5366773213809
prior only noise,5000,31,-446.8152930202927
prior only noise,5000,32,-446.66079117091726
prior only noise,5000,33,-446.6419440652437
prior only noise,5000,34,-446.612258691285
prior only noise,5000,35,-446.6498544504162
prior only noise,5000,36,-446.81528360351933
prior only noise,5000,37,-446.6900324907235
prior only noise,5000,38,-446.6193194701965
prior only noise,5000,39,-446.62314105940953
prior only noise,5000,40,-446.83898133754303
prior only noise,5000,41,-446.5227309579783
prior only noise,5000,42,-446.4710787811406
prior only noise,5000,43,-446.6832132903316
prior only noise,5000,44,-446.6738746231452
prior only noise,5000,45,-446.43683876497175
prior only noise,5000,46,-446.34682670452946
prior only noise,5000,47,-446.5289846090988
prior only noise,5000,48,-446.68686505044997
prior only noise,5000,49,-446.6621674508917
prior only noise,5000,50,-446.69404419424694
prior only noise,5000,51,-446.5937596132347
prior only noise,5000,52,-446.61343135329645
prior only noise,5000,53,-446.68707909594104
prior only noise,5000,54,-446.7263092641532
prior only noise,5000,55,-446.37417864793156
prior only noise,5000,56,-446.5692700656471
prior only noise,5000,57,-446.6692691253929
prior only noise,5000,58,-446.4171810496173
prior only noise,5000,59,-446.76290372235286
prior only noise,5000,60,-446.60612760105
prior only noise,5000,61,-446.629801946762
prior only noise,5000,62,-446.57210587512617
prior only noise,5000,63,-446.2119514705268
prior only noise,5000,64,-446.68722793010346
prior only noise,5000,65,-446.7279695128609
prior only noise,5000,66,-446.70993341034796
prior only noise,5000,67,-446.7401313675952
prior only noise,5000,68,-446.6616725889464
prior only noise,5000,69,-446.4933873479132
prior only noise,5000,70,-446.4478541924015
prior only noise,5000,71,-446.618890495748
prior only noise,5000,72,-446.6200208327462
prior only noise,5000,73,-446.5277470737057
prior only noise,5000,74,-446.7497038829015
prior only noise,5000,75,-446.76573774179946
prior only noise,5000,76,-446.54605057733335
prior only noise,5000,77,-446.45970212108045
prior only noise,5000,78,-446.65131429354386
prior only noise,5000,79,-446.75661927379286
prior only noise,5000,80,-446.62229148616893
prior only noise,5000,81,-446.54956491283514
prior only noise,5000,82,-446.3812744653965
prior only noise,5000,83,-446.49975271690096
prior only noise,5000,84,-446.7210549243419
prior only noise,5000,85,-446.6685712109307
prior only noise,5000,86,-446.48022290307887
prior only noise,5000,87,-446.63074565120513
prior only noise,5000,88,-446.7095516658083
prior only noise,5000,89,-446.74591636812454
prior only noise,5000,90,-446.62143553964955
prior only noise,5000,91,-446.7797252259895
prior only noise,5000,92,-446.50639378498323
prior only noise,5000,93,-446.6849654298324
prior only noise,5000,94,-446.35774044175236
prior only noise,5000,95,-446.5193680860964
prior only noise,5000,96,-446.5254843860215
prior only noise,5000,97,-446.6075831371556
prior only noise,5000,98,-446.61758368059645
prior only noise,5000,99,-446.60093456358385
