modelVariant,steps,iter,weight
prior only parameter free,5000,0,-513.2352812271008
prior only parameter free,5000,1,-513.2352812271008
prior only parameter free,5000,2,-513.2352812271008
prior only parameter free,5000,3,-513.2352812271008
prior only parameter free,5000,4,-513.2352812271008
prior only parameter free,5000,5,-513.2352812271008
prior only parameter free,5000,6,-513.2352812271008
prior only parameter free,5000,7,-513.2352812271008
prior only parameter free,5000,8,-513.2352812271008
prior only parameter free,5000,9,-513.2352812271008
prior only parameter free,5000,10,-513.2352812271008
prior only parameter free,5000,11,-513.2352812271008
prior only parameter free,5000,12,-513.2352812271008
prior only parameter free,5000,13,-513.2352812271008
prior only parameter free,5000,14,-513.2352812271008
prior only parameter free,5000,15,-513.2352812271008
prior only parameter free,5000,16,-513.2352812271008
prior only parameter free,5000,17,-513.2352812271008
prior only parameter free,5000,18,-513.2352812271008
prior only parameter free,5000,19,-513.2352812271008
prior only parameter free,5000,20,-513.2352812271008
prior only parameter free,5000,21,-513.2352812271008
prior only parameter free,5000,22,-513.2352812271008
prior only parameter free,5000,23,-513.2352812271008
prior only parameter free,5000,24,-513.2352812271008
prior only parameter free,5000,25,-513.2352812271008
prior only parameter free,5000,26,-513.2352812271008
prior only parameter free,5000,27,-513.2352812271008
prior only parameter free,5000,28,-513.2352812271008
prior only parameter free,5000,29,-513.2352812271008
prior only parameter free,5000,30,-513.2352812271008
prior only parameter free,5000,31,-513.2352812271008
prior only parameter free,5000,32,-513.2352812271008
prior only parameter free,5000,33,-513.2352812271008
prior only parameter free,5000,34,-513.2352812271008
prior only parameter free,5000,35,-513.2352812271008
prior only parameter free,5000,36,-513.2352812271008
prior only parameter free,5000,37,-513.2352812271008
prior only parameter free,5000,38,-513.2352812271008
prior only parameter free,5000,39,-513.2352812271008
prior only parameter free,5000,40,-513.2352812271008
prior only parameter free,5000,41,-513.2352812271008
prior only parameter free,5000,42,-513.2352812271008
prior only parameter free,5000,43,-513.2352812271008
prior only parameter free,5000,44,-513.2352812271008
prior only parameter free,5000,45,-513.2352812271008
prior only parameter free,5000,46,-513.2352812271008
prior only parameter free,5000,47,-513.2352812271008
prior only parameter free,5000,48,-513.2352812271008
prior only parameter free,5000,49,-513.2352812271008
prior only parameter free,5000,50,-513.2352812271008
prior only parameter free,5000,51,-513.2352812271008
prior only parameter free,5000,52,-513.2352812271008
prior only parameter free,5000,53,-513.2352812271008
prior only parameter free,5000,54,-513.2352812271008
prior only parameter free,5000,55,-513.2352812271008
prior only parameter free,5000,56,-513.2352812271008
prior only parameter free,5000,57,-513.2352812271008
prior only parameter free,5000,58,-513.2352812271008
prior only parameter free,5000,59,-513.2352812271008
prior only parameter free,5000,60,-513.2352812271008
prior only parameter free,5000,61,-513.2352812271008
prior only parameter free,5000,62,-513.2352812271008
prior only parameter free,5000,63,-513.2352812271008
prior only parameter free,5000,64,-513.2352812271008
prior only parameter free,5000,65,-513.2352812271008
prior only parameter free,5000,66,-513.2352812271008
prior only parameter free,5000,67,-513.2352812271008
prior only parameter free,5000,68,-513.2352812271008
prior only parameter free,5000,69,-513.2352812271008
prior only parameter free,5000,70,-513.2352812271008
prior only parameter free,5000,71,-513.2352812271008
prior only parameter free,5000,72,-513.2352812271008
prior only parameter free,5000,73,-513.2352812271008
prior only parameter free,5000,74,-513.2352812271008
prior only parameter free,5000,75,-513.2352812271008
prior only parameter free,5000,76,-513.2352812271008
prior only parameter free,5000,77,-513.2352812271008
prior only parameter free,5000,78,-513.2352812271008
prior only parameter free,5000,79,-513.2352812271008
prior only parameter free,5000,80,-513.2352812271008
prior only parameter free,5000,81,-513.2352812271008
prior only parameter free,5000,82,-513.2352812271008
prior only parameter free,5000,83,-513.2352812271008
prior only parameter free,5000,84,-513.2352812271008
prior only parameter free,5000,85,-513.2352812271008
prior only parameter free,5000,86,-513.2352812271008
prior only parameter free,5000,87,-513.2352812271008
prior only parameter free,5000,88,-513.2352812271008
prior only parameter free,5000,89,-513.2352812271008
prior only parameter free,5000,90,-513.2352812271008
prior only parameter free,5000,91,-513.2352812271008
prior only parameter free,5000,92,-513.2352812271008
prior only parameter free,5000,93,-513.2352812271008
prior only parameter free,5000,94,-513.2352812271008
prior only parameter free,5000,95,-513.2352812271008
prior only parameter free,5000,96,-513.2352812271008
prior only parameter free,5000,97,-513.2352812271008
prior only parameter free,5000,98,-513.2352812271008
prior only parameter free,5000,99,-513.2352812271008
