"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","09a403b7024081b7ca8bbd069a46e214","1","preference","Elephant","Tiger","car","bear","car","left","train","false",12776,1
"2","09a403b7024081b7ca8bbd069a46e214","2","preference","Pig","Tiger","duck","ball","ball","right","train","false",12011,1
"3","09a403b7024081b7ca8bbd069a46e214","3","preference","Mouse","Tiger","t2","t7","t7","right","1","true",14352,1
"4","09a403b7024081b7ca8bbd069a46e214","4","preference","Monkey","Dog","t17","t18","t17","left","2","false",13766,1
"5","09a403b7024081b7ca8bbd069a46e214","5","preference","Frog","Dog","t5","t16","t16","left","3","true",15312,0
"6","09a403b7024081b7ca8bbd069a46e214","6","preference","Bunny","Sheep","t8","t15","t15","right","4","false",14181,1
"7","09a403b7024081b7ca8bbd069a46e214","7","preference","Cat","Sheep","t10","t12","t10","left","5","false",13373,1
"8","09a403b7024081b7ca8bbd069a46e214","8","preference","Bear","Sheep","t1","t11","t1","right","6","true",13349,0
"9","0ae883f58a548c7ad0cfc6d48ef9f36d","1","preference","Elephant","Sheep","car","bear","car","left","train","false",10631,1
"10","0ae883f58a548c7ad0cfc6d48ef9f36d","2","preference","Pig","Sheep","duck","ball","ball","right","train","false",9477,1
"11","0ae883f58a548c7ad0cfc6d48ef9f36d","3","preference","Bunny","Sheep","t3","t7","t3","right","1","true",13003,0
"12","0ae883f58a548c7ad0cfc6d48ef9f36d","4","preference","Monkey","Bear","t13","t8","t13","left","2","false",15091,1
"13","0ae883f58a548c7ad0cfc6d48ef9f36d","5","preference","Dog","Bear","t17","t5","t17","left","3","false",13648,1
"14","0ae883f58a548c7ad0cfc6d48ef9f36d","6","preference","Mouse","Bear","t6","t18","t18","right","4","true",11587,1
"15","0ae883f58a548c7ad0cfc6d48ef9f36d","7","preference","Cat","Tiger","t11","t2","t2","right","5","false",11343,1
"16","0ae883f58a548c7ad0cfc6d48ef9f36d","8","preference","Frog","Tiger","t15","t12","t12","left","6","true",13257,0
"17","1a3ec53d8a1e1db54f908ab2555e8205","1","preference","Elephant","Tiger","car","bear","car","left","train","false",14790,1
"18","1a3ec53d8a1e1db54f908ab2555e8205","2","preference","Pig","Tiger","duck","ball","ball","right","train","false",9376,1
"19","1a3ec53d8a1e1db54f908ab2555e8205","3","preference","Mouse","Tiger","t12","t2","t12","left","1","false",9041,1
"20","1a3ec53d8a1e1db54f908ab2555e8205","4","preference","Frog","Tiger","t15","t8","t8","right","2","true",21419,1
"21","1a3ec53d8a1e1db54f908ab2555e8205","5","preference","Bunny","Cat","t17","t18","t17","left","3","true",15174,1
"22","1a3ec53d8a1e1db54f908ab2555e8205","6","preference","Bear","Sheep","t7","t5","t5","right","4","false",13601,1
"23","1a3ec53d8a1e1db54f908ab2555e8205","7","preference","Dog","Sheep","t11","t1","t1","right","5","false",13854,1
