"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","00d9b6017536b44e1a850bc1d36fd4f3","1","preference","Elephant","Sheep","car","bear","car","left","train","false",7137,1
"2","00d9b6017536b44e1a850bc1d36fd4f3","2","preference","Pig","Sheep","duck","ball","ball","right","train","false",7086,1
"3","00d9b6017536b44e1a850bc1d36fd4f3","3","preference","Mouse","Sheep","t16","t10","t10","right","1","false",7905,1
"4","00d9b6017536b44e1a850bc1d36fd4f3","4","preference","Dog","Sheep","t18","t4","t18","left","2","true",7129,1
"5","00d9b6017536b44e1a850bc1d36fd4f3","5","preference","Cat","Beaver","t11","t6","t11","right","3","true",7178,0
"6","00d9b6017536b44e1a850bc1d36fd4f3","6","preference","Bear","Tiger","t2","t3","t2","right","4","false",7177,0
"7","00d9b6017536b44e1a850bc1d36fd4f3","7","preference","Pig","Tiger","t7","t15","t7","right","5","true",7194,0
"8","00d9b6017536b44e1a850bc1d36fd4f3","8","preference","Monkey","Bunny","t5","t12","t5","left","6","false",7266,1
"9","00d9b6017536b44e1a850bc1d36fd4f3","9","preference","Elephant","Bunny","t14","t9","t9","left","7","true",7193,0
"10","00d9b6017536b44e1a850bc1d36fd4f3","10","preference","Frog",NA,"t17","t8","t17","left","8","false",7154,1
"11","01c27b4280181a6d6bc2552a54fc6e1a","1","preference","Elephant","Pig","car","bear","car","left","train","false",12082,1
"12","01c27b4280181a6d6bc2552a54fc6e1a","2","preference","Pig","Pig","duck","ball","ball","right","train","false",10193,1
"13","01c27b4280181a6d6bc2552a54fc6e1a","3","preference","Dog","Pig","t14","t1","t1","right","1","true",11354,1
"14","01c27b4280181a6d6bc2552a54fc6e1a","4","preference","Monkey","Sheep","t2","t6","t6","left","2","false",12810,0
"15","01c27b4280181a6d6bc2552a54fc6e1a","5","preference","Frog","Sheep","t10","t3","t3","right","3","false",11266,1
"16","01c27b4280181a6d6bc2552a54fc6e1a","6","preference","Cat","Sheep","t13","t15","t13","left","4","true",10706,1
