"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","0e3d172d8a6ffd7d8c03f0abcaae3138","1","preference","Elephant","Sheep","car","bear","car","left","train","false",11193,1
"2","0e3d172d8a6ffd7d8c03f0abcaae3138","2","preference","Pig","Sheep","duck","ball","ball","right","train","false",10426,1
"3","0e3d172d8a6ffd7d8c03f0abcaae3138","3","preference","Frog","Sheep","t8","t10","t10","right","1","false",13218,1
"4","0e3d172d8a6ffd7d8c03f0abcaae3138","4","preference","Dog","Sheep","t11","t16","t16","right","2","true",13713,1
"5","0e3d172d8a6ffd7d8c03f0abcaae3138","5","preference","Mouse","Bunny","t5","t4","t4","right","3","false",11288,1
"6","0e3d172d8a6ffd7d8c03f0abcaae3138","6","preference","Cat","Bunny","t13","t12","t12","left","4","true",13616,0
"7","0e3d172d8a6ffd7d8c03f0abcaae3138","7","preference","Bear","Elephant","t3","t6","t3","right","5","true",11809,0
"8","0e3d172d8a6ffd7d8c03f0abcaae3138","8","preference","Pig","Tiger","t2","t9","t2","left","6","false",10890,1
"9","0e3d172d8a6ffd7d8c03f0abcaae3138","9","preference","Beaver","Tiger","t14","t7","t14","left","7","false",8482,1
"10","0e3d172d8a6ffd7d8c03f0abcaae3138","10","preference","Monkey","Tiger","t1","t18","t1","left","8","true",12018,1
"11","0eb49402fe0ae5f4e946f2f58b3c67e4","1","preference","Elephant","Bunny","car","bear","car","left","train","false",11135,1
"12","0eb49402fe0ae5f4e946f2f58b3c67e4","2","preference","Pig","Bunny","duck","ball","ball","right","train","false",10323,1
"13","0eb49402fe0ae5f4e946f2f58b3c67e4","3","preference","Bear","Bunny","t13","t16","t16","right","1","true",13635,1
"14","0eb49402fe0ae5f4e946f2f58b3c67e4","4","preference","Cat","Frog","t2","t17","t17","right","2","false",32705,1
"15","0eb49402fe0ae5f4e946f2f58b3c67e4","5","preference","Monkey","Frog","t11","t18","t11","left","3","false",13398,1
"16","0eb49402fe0ae5f4e946f2f58b3c67e4","6","preference","Beaver","Frog","t12","t4","t4","left","4","true",13252,0
"17","0eb49402fe0ae5f4e946f2f58b3c67e4","7","preference","Pig","Dog","t1","t6","t6","right","5","false",11670,1
"18","0eb49402fe0ae5f4e946f2f58b3c67e4","8","preference","Elephant","Dog","t7","t8","t8","left","6","true",10711,0
"19","0eb49402fe0ae5f4e946f2f58b3c67e4","9","preference","Tiger","Sheep","t3","t9","t9","right","7","false",11477,1
"20","0eb49402fe0ae5f4e946f2f58b3c67e4","10","preference","Mouse","Sheep","t10","t15","t15","left","8","true",11051,0
"21","175ce5ab3e943b5c9a3e24da557120c7","1","preference","Elephant","Sheep","car","bear","car","left","train","false",11276,1
"22","175ce5ab3e943b5c9a3e24da557120c7","2","preference","Pig","Sheep","duck","ball","duck","right","train","false",16953,0
"23","175ce5ab3e943b5c9a3e24da557120c7","3","preference","Pig","Sheep","t11","t4","t4","right","1","false",11128,1
"24","175ce5ab3e943b5c9a3e24da557120c7","4","preference","Dog","Sheep","t6","t7","t6","left","2","true",12486,1
"25","175ce5ab3e943b5c9a3e24da557120c7","5","preference","Bunny","Beaver","t12","t9","t9","right","3","true",11177,1
"26","175ce5ab3e943b5c9a3e24da557120c7","6","preference","Monkey","Cat","t18","t3","t3","right","4","false",10548,1
"27","175ce5ab3e943b5c9a3e24da557120c7","7","preference","Elephant","Cat","t5","t1","t5","left","5","false",11067,1
"28","175ce5ab3e943b5c9a3e24da557120c7","8","preference","Tiger","Cat","t2","t15","t15","left","6","true",10408,0
"29","175ce5ab3e943b5c9a3e24da557120c7","9","preference","Frog","Bear","t8","t13","t8","right","7","true",10263,0
"30","175ce5ab3e943b5c9a3e24da557120c7","10","preference","Mouse",NA,"t16","t17","t16","left","8","false",11433,1
"31","2a4b5a40e0cac4f8e5118778544c8f7f","1","preference","Elephant","Sheep","car","bear","car","left","train","false",10859,1
"32","2a4b5a40e0cac4f8e5118778544c8f7f","2","preference","Pig","Sheep","duck","ball","ball","right","train","false",9578,1
"33","2a4b5a40e0cac4f8e5118778544c8f7f","3","preference","Dog","Sheep","t15","t16","t15","left","1","true",11411,1
"34","2a4b5a40e0cac4f8e5118778544c8f7f","4","preference","Frog","Bear","t1","t3","t3","right","2","false",11061,1
"35","2a4b5a40e0cac4f8e5118778544c8f7f","5","preference","Mouse","Bear","t12","t4","t4","right","3","false",10075,1
"36","2a4b5a40e0cac4f8e5118778544c8f7f","6","preference","Monkey","Bear","t14","t6","t14","right","4","true",11162,0
"37","2a4b5a40e0cac4f8e5118778544c8f7f","7","preference","Bunny","Elephant","t8","t2","t8","left","5","false",10418,1
"38","2a4b5a40e0cac4f8e5118778544c8f7f","8","preference","Pig","Elephant","t17","t18","t18","left","6","true",10747,0
"39","2a4b5a40e0cac4f8e5118778544c8f7f","9","preference","Cat","Tiger","t9","t11","t11","right","7","false",9980,1
"40","2a4b5a40e0cac4f8e5118778544c8f7f","10","preference","Beaver","Tiger","t7","t13","t13","left","8","true",10089,0
"41","2d2daffa4800b9dcda52188821d16fc9","1","preference","Elephant","Bunny","car","bear","car","left","train","false",11861,1
"42","2d2daffa4800b9dcda52188821d16fc9","2","preference","Pig","Bunny","duck","ball","ball","right","train","false",26196,1
"43","2d2daffa4800b9dcda52188821d16fc9","3","preference","Elephant","Bunny","t7","t16","t16","left","1","true",14041,0
"44","2d2daffa4800b9dcda52188821d16fc9","4","preference","Sheep","Pig","t6","t17","t6","left","2","false",13603,1
"45","2d2daffa4800b9dcda52188821d16fc9","5","preference","Frog","Pig","t11","t8","t8","right","3","true",11749,1
"46","2d2daffa4800b9dcda52188821d16fc9","6","preference","Tiger","Dog","t14","t18","t14","left","4","false",14598,1
"47","2d2daffa4800b9dcda52188821d16fc9","7","preference","Monkey","Dog","t13","t2","t13","right","5","false",11536,0
"48","2d2daffa4800b9dcda52188821d16fc9","8","preference","Bear","Dog","t1","t15","t15","right","6","true",13926,1
"49","2d2daffa4800b9dcda52188821d16fc9","9","preference","Beaver","Mouse","t5","t12","t12","left","7","true",11438,0
"50","2d2daffa4800b9dcda52188821d16fc9","10","preference","Cat",NA,"t4","t10","t4","right","8","false",11734,0
"51","320de6a5dcc7ccf91dc5c1c61f6786e7","1","preference","Elephant","Elephant","car","bear","car","left","train","false",10544,1
"52","320de6a5dcc7ccf91dc5c1c61f6786e7","2","preference","Pig","Elephant","duck","ball","ball","right","train","false",9229,1
"53","320de6a5dcc7ccf91dc5c1c61f6786e7","3","preference","Beaver","Elephant","t11","t18","t18","right","1","false",12615,1
"54","320de6a5dcc7ccf91dc5c1c61f6786e7","4","preference","Sheep","Elephant","t1","t3","t1","left","2","true",11249,1
"55","320de6a5dcc7ccf91dc5c1c61f6786e7","5","preference","Mouse","Bear","t9","t15","t9","left","3","false",7850,1
"56","320de6a5dcc7ccf91dc5c1c61f6786e7","6","preference","Dog","Bear","t4","t5","t5","right","4","true",7729,1
"57","320de6a5dcc7ccf91dc5c1c61f6786e7","7","preference","Bunny","Frog","t10","t14","t10","left","5","true",7788,1
"58","320de6a5dcc7ccf91dc5c1c61f6786e7","8","preference","Monkey","Tiger","t13","t8","t8","right","6","false",13583,1
"59","320de6a5dcc7ccf91dc5c1c61f6786e7","9","preference","Pig","Tiger","t16","t12","t12","right","7","true",11166,1
"60","320de6a5dcc7ccf91dc5c1c61f6786e7","10","preference","Cat",NA,"t17","t2","t17","left","8","false",7069,1
"61","371393ca980882c5c48b4c8eea133d3a","1","preference","Elephant","Dog","car","bear","bear","left","train","false",12111,0
"62","371393ca980882c5c48b4c8eea133d3a","2","preference","Pig","Dog","duck","ball","ball","right","train","false",10385,1
"63","371393ca980882c5c48b4c8eea133d3a","3","preference","Sheep","Dog","t5","t2","t5","left","1","true",13450,1
