"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","emotion","trial","change","rt","correct"
"1","00c8c2b3b1a233036685f50ad4386d43","1","preference","Elephant","Elephant","car","bear","car","left","pos","train","false",11172,1
"2","00c8c2b3b1a233036685f50ad4386d43","2","preference","Pig","Elephant","duck","ball","ball","right","pos","train","false",10173,1
"3","00c8c2b3b1a233036685f50ad4386d43","3","preference","Dog","Elephant","t13","t8","t8","left","pos","1","false",11197,0
"4","00c8c2b3b1a233036685f50ad4386d43","4","preference","Cat","Elephant","t1","t5","t5","left","neg","2","true",14975,0
"5","00c8c2b3b1a233036685f50ad4386d43","5","preference","Frog","Sheep","t2","t3","t2","right","neg","3","false",11502,0
"6","00c8c2b3b1a233036685f50ad4386d43","6","preference","Bunny","Sheep","t6","t10","t10","right","pos","4","true",11572,1
"7","00c8c2b3b1a233036685f50ad4386d43","7","preference","Bear","Monkey","t12","t16","t12","left","neg","5","false",10526,1
"8","00c8c2b3b1a233036685f50ad4386d43","8","preference","Pig","Monkey","t4","t7","t7","left","neg","6","true",11102,0
"9","00c8c2b3b1a233036685f50ad4386d43","9","preference","Beaver","Tiger","t18","t15","t15","right","pos","7","true",10647,1
"10","00c8c2b3b1a233036685f50ad4386d43","10","preference","Mouse",NA,"t9","t11","t11","right","pos","8","false",10831,1
"11","00c99bf4c027c6ea740db97682727625","1","preference","Elephant","Dog","car","bear","bear","left","pos","train","false",11517,0
"12","00c99bf4c027c6ea740db97682727625","2","preference","Pig","Dog","duck","ball","ball","right","pos","train","false",10413,1
"13","00c99bf4c027c6ea740db97682727625","3","preference","Frog","Dog","t10","t5","t10","left","neg","1","true",8203,1
"14","00c99bf4c027c6ea740db97682727625","4","preference","Elephant","Mouse","t15","t16","t15","right","neg","2","false",10509,0
"15","00c99bf4c027c6ea740db97682727625","5","preference","Bear","Mouse","t18","t14","t14","right","neg","3","true",10603,1
"16","00c99bf4c027c6ea740db97682727625","6","preference","Pig","Sheep","t1","t7","t7","right","pos","4","false",10275,1
"17","00c99bf4c027c6ea740db97682727625","7","preference","Bunny","Sheep","t11","t2","t11","left","pos","5","false",10259,1
"18","00c99bf4c027c6ea740db97682727625","8","preference","Beaver","Sheep","t3","t9","t3","right","pos","6","true",10859,0
"19","00c99bf4c027c6ea740db97682727625","9","preference","Monkey","Cat","t8","t13","t8","left","neg","7","true",10391,1
"20","00c99bf4c027c6ea740db97682727625","10","preference","Tiger",NA,"t12","t4","t12","left","pos","8","false",10212,1
