"","id","alltrial","experiment","agent","altAgent","rightFruit","leftFruit","corObjInf","corObjPrior","pick","prior","inf","trial","alignment","change","rt","correct_inf","correct_prior"
"1","009f0672ad682fbca2a7e7827e21a9fb","1","novel_strong","Elephant","Sheep","bear","car","car","car","car","strong","left","train1","congruent","same",12994,1,1
"2","009f0672ad682fbca2a7e7827e21a9fb","2","novel_strong","Pig","Sheep","ball","duck","ball","ball","ball","strong","right","train2","congruent","same",13640,1,1
"3","009f0672ad682fbca2a7e7827e21a9fb","3","novel_strong","Bunny","Sheep","t16","t18","t16","t18","t18","strong","right","1","incongruent","same",14938,0,1
"4","009f0672ad682fbca2a7e7827e21a9fb","4","novel_strong","Dog","Sheep","t10","t6","t6","t10","t6","strong","right","2","incongruent","diff",14507,1,0
"5","009f0672ad682fbca2a7e7827e21a9fb","5","novel_strong","Tiger","Beaver","t15","t12","t15","t12","t12","strong","left","3","incongruent","same",14822,0,1
"6","009f0672ad682fbca2a7e7827e21a9fb","6","novel_strong","Elephant","Beaver","t2","t3","t2","t3","t3","strong","left","4","incongruent","diff",10731,0,1
"7","009f0672ad682fbca2a7e7827e21a9fb","7","novel_strong","Mouse","Frog","t14","t5","t14","t14","t14","strong","right","5","congruent","same",14978,1,1
"8","009f0672ad682fbca2a7e7827e21a9fb","8","novel_strong","Pig","Frog","t9","t7","t9","t9","t7","strong","left","6","congruent","diff",13083,0,0
"9","009f0672ad682fbca2a7e7827e21a9fb","9","novel_strong","Bear","Cat","t11","t17","t17","t17","t17","strong","right","7","congruent","diff",12827,1,1
"10","009f0672ad682fbca2a7e7827e21a9fb","10","novel_strong","Monkey",NA,"t8","t4","t8","t8","t8","strong","left","8","congruent","same",12762,1,1
"11","0113f968e7f89aefa6d1e8953c64bce3","1","novel_strong","Elephant","Frog","bear","car","car","car","car","strong","left","train1","congruent","same",14394,1,1
"12","0113f968e7f89aefa6d1e8953c64bce3","2","novel_strong","Pig","Frog","ball","duck","ball","ball","ball","strong","right","train2","congruent","same",17359,1,1
"13","0113f968e7f89aefa6d1e8953c64bce3","3","novel_strong","Tiger","Frog","t18","t16","t16","t16","t18","strong","right","1","congruent","diff",15507,0,0
"14","0113f968e7f89aefa6d1e8953c64bce3","4","novel_strong","Cat","Pig","t6","t15","t6","t15","t6","strong","right","2","incongruent","diff",13556,1,0
"15","0113f968e7f89aefa6d1e8953c64bce3","5","novel_strong","Beaver","Bunny","t17","t7","t17","t17","t7","strong","left","3","congruent","diff",13890,0,0
"16","0113f968e7f89aefa6d1e8953c64bce3","6","novel_strong","Mouse","Bear","t5","t4","t5","t4","t4","strong","right","4","incongruent","same",12620,0,1
"17","0113f968e7f89aefa6d1e8953c64bce3","7","novel_strong","Sheep","Bear","t1","t13","t1","t1","t13","strong","left","5","congruent","same",13316,0,0
"18","0113f968e7f89aefa6d1e8953c64bce3","8","novel_strong","Monkey","Bear","t11","t9","t9","t11","t9","strong","left","6","incongruent","diff",15675,1,0
"19","0113f968e7f89aefa6d1e8953c64bce3","9","novel_strong","Dog",NA,"t2","t3","t3","t2","t2","strong","left","7","incongruent","same",11226,0,1
"20","0113f968e7f89aefa6d1e8953c64bce3","10","novel_strong","Elephant",NA,"t8","t10","t10","t10","t8","strong","right","8","congruent","same",7380,0,0
"21","0ae78dcd82525514e46c0981d172b41d","1","novel_strong","Elephant","Bunny","bear","car","car","car","car","strong","left","train1","congruent","same",8660,1,1
"22","0ae78dcd82525514e46c0981d172b41d","2","novel_strong","Pig","Bunny","ball","duck","ball","ball","ball","strong","right","train2","congruent","same",7889,1,1
"23","0ae78dcd82525514e46c0981d172b41d","3","novel_strong","Frog","Bunny","t1","t13","t13","t1","t1","strong","right","1","incongruent","diff",16777,0,1
"24","0ae78dcd82525514e46c0981d172b41d","4","novel_strong","Dog","Cat","t3","t18","t18","t18","t18","strong","left","2","congruent","diff",10833,1,1
"25","0ae78dcd82525514e46c0981d172b41d","5","novel_strong","Mouse","Beaver","t5","t11","t11","t5","t11","strong","left","3","incongruent","diff",10568,1,0
"26","0ae78dcd82525514e46c0981d172b41d","6","novel_strong","Sheep","Monkey","t14","t2","t14","t14","t14","strong","right","4","congruent","diff",14313,1,1
"27","0ae78dcd82525514e46c0981d172b41d","7","novel_strong","Tiger",NA,"t17","t7","t17","t17","t7","strong","left","5","congruent","same",13233,0,0
"28","0ae78dcd82525514e46c0981d172b41d","8","novel_strong","Pig",NA,"t15","t12","t15","t12","t12","strong","left","6","incongruent","same",24304,0,1
"29","0ae78dcd82525514e46c0981d172b41d","9","novel_strong","Elephant",NA,"t8","t9","t9","t8","t8","strong","right","7","incongruent","same",9972,0,1
"30","0ae78dcd82525514e46c0981d172b41d","10","novel_strong","Bear",NA,"t6","t10","t10","t10","t10","strong","right","8","congruent","same",8614,1,1
"31","0ed8dff8ccad72e3d31163d3b895d8f4","1","novel_strong","Elephant","Monkey","bear","car","car","car","bear","strong","left","train1","congruent","same",15418,0,0
"32","0ed8dff8ccad72e3d31163d3b895d8f4","2","novel_strong","Pig","Monkey","ball","duck","ball","ball","ball","strong","right","train2","congruent","same",13798,1,1
"33","0ed8dff8ccad72e3d31163d3b895d8f4","3","novel_strong","Dog","Monkey","t10","t18","t10","t10","t10","strong","left","1","congruent","same",13719,1,1
"34","0ed8dff8ccad72e3d31163d3b895d8f4","4","novel_strong","Bunny","Monkey","t17","t2","t17","t17","t17","strong","right","2","congruent","diff",13187,1,1
"35","0ed8dff8ccad72e3d31163d3b895d8f4","5","novel_strong","Frog","Pig","t5","t15","t5","t15","t5","strong","left","3","incongruent","diff",14704,1,0
"36","0ed8dff8ccad72e3d31163d3b895d8f4","6","novel_strong","Mouse","Cat","t6","t3","t3","t6","t3","strong","left","4","incongruent","same",14350,1,0
"37","0ed8dff8ccad72e3d31163d3b895d8f4","7","novel_strong","Sheep","Cat","t16","t11","t16","t16","t16","strong","right","5","congruent","same",11388,1,1
"38","0ed8dff8ccad72e3d31163d3b895d8f4","8","novel_strong","Tiger","Cat","t14","t4","t4","t14","t4","strong","right","6","incongruent","diff",12276,1,0
