"","id","alltrial","experiment","agent","altAgent","rightFruit","leftFruit","corObjInf","corObjPrior","pick","prior","inf","trial","alignment","change","rt","correct_inf","correct_prior"
"1","011e60cbaa1984fc56c217ce146e961a","1","novel_weak","Elephant","Cat","bear","car","car","car","car","weak","left","train1","congruent","same",11297,1,1
"2","011e60cbaa1984fc56c217ce146e961a","2","novel_weak","Pig","Cat","ball","duck","ball","ball","ball","weak","right","train2","congruent","same",10096,1,1
"3","011e60cbaa1984fc56c217ce146e961a","3","novel_weak","Bunny","Cat","t5","t10","t10","t10","t10","weak","left","1","congruent","diff",14025,1,1
"4","011e60cbaa1984fc56c217ce146e961a","4","novel_weak","Tiger","Beaver","t1","t14","t1","t1","t14","weak","left","2","congruent","same",14385,0,0
"5","011e60cbaa1984fc56c217ce146e961a","5","novel_weak","Dog","Beaver","t15","t11","t15","t11","t11","weak","left","3","incongruent","diff",14731,0,1
"6","011e60cbaa1984fc56c217ce146e961a","6","novel_weak","Monkey","Bear","t7","t2","t7","t2","t2","weak","left","4","incongruent","same",14875,0,1
"7","011e60cbaa1984fc56c217ce146e961a","7","novel_weak","Elephant","Bear","t13","t6","t6","t13","t13","weak","right","5","incongruent","diff",12493,0,1
"8","011e60cbaa1984fc56c217ce146e961a","8","novel_weak","Pig","Sheep","t8","t4","t4","t4","t4","weak","right","6","congruent","diff",21864,1,1
"9","011e60cbaa1984fc56c217ce146e961a","9","novel_weak","Mouse",NA,"t12","t17","t12","t17","t17","weak","right","7","incongruent","same",12364,0,1
"10","011e60cbaa1984fc56c217ce146e961a","10","novel_weak","Frog",NA,"t9","t3","t3","t3","t9","weak","right","8","congruent","same",12683,0,0
"11","06997618de16e0630965ed648776c7e0","1","novel_weak","Elephant","Bunny","bear","car","car","car","car","weak","left","train1","congruent","same",11703,1,1
"12","06997618de16e0630965ed648776c7e0","2","novel_weak","Pig","Bunny","ball","duck","ball","ball","ball","weak","right","train2","congruent","same",10115,1,1
"13","06997618de16e0630965ed648776c7e0","3","novel_weak","Sheep","Bunny","t17","t12","t17","t12","t17","weak","right","1","incongruent","diff",13930,1,0
"14","06997618de16e0630965ed648776c7e0","4","novel_weak","Bear","Mouse","t18","t1","t18","t18","t18","weak","left","2","congruent","same",11858,1,1
"15","06997618de16e0630965ed648776c7e0","5","novel_weak","Elephant","Mouse","t16","t2","t16","t16","t16","weak","right","3","congruent","same",13821,1,1
"16","06997618de16e0630965ed648776c7e0","6","novel_weak","Cat","Mouse","t4","t14","t14","t4","t14","weak","right","4","incongruent","same",15350,1,0
"17","06997618de16e0630965ed648776c7e0","7","novel_weak","Pig","Mouse","t5","t11","t11","t5","t11","weak","left","5","incongruent","diff",12604,1,0
"18","06997618de16e0630965ed648776c7e0","8","novel_weak","Dog","Frog","t8","t6","t6","t6","t6","weak","right","6","congruent","diff",13201,1,1
"19","06997618de16e0630965ed648776c7e0","9","novel_weak","Tiger","Beaver","t13","t10","t13","t13","t13","weak","left","7","congruent","diff",7229,1,1
"20","06997618de16e0630965ed648776c7e0","10","novel_weak","Monkey",NA,"t7","t9","t9","t7","t7","weak","left","8","incongruent","same",7551,0,1
"21","0b0facee86ce1a00568eed5e0b92e14d","1","novel_weak","Elephant","Monkey","bear","car","car","car","car","weak","left","train1","congruent","same",10910,1,1
"22","0b0facee86ce1a00568eed5e0b92e14d","2","novel_weak","Pig","Monkey","ball","duck","ball","ball","ball","weak","right","train2","congruent","same",9553,1,1
"23","0b0facee86ce1a00568eed5e0b92e14d","3","novel_weak","Mouse","Monkey","t3","t12","t12","t12","t12","weak","left","1","congruent","diff",12832,1,1
"24","0b0facee86ce1a00568eed5e0b92e14d","4","novel_weak","Dog","Tiger","t6","t18","t18","t18","t18","weak","right","2","congruent","same",13092,1,1
"25","0b0facee86ce1a00568eed5e0b92e14d","5","novel_weak","Frog","Tiger","t1","t13","t1","t13","t1","weak","right","3","incongruent","diff",13436,1,0
"26","0b0facee86ce1a00568eed5e0b92e14d","6","novel_weak","Cat","Sheep","t16","t2","t16","t16","t16","weak","left","4","congruent","same",13132,1,1
"27","0b0facee86ce1a00568eed5e0b92e14d","7","novel_weak","Pig","Sheep","t7","t5","t7","t5","t7","weak","left","5","incongruent","diff",12408,1,0
"28","0b0facee86ce1a00568eed5e0b92e14d","8","novel_weak","Bear","Beaver","t11","t14","t11","t14","t11","weak","right","6","incongruent","same",11813,1,0
"29","0b0facee86ce1a00568eed5e0b92e14d","9","novel_weak","Elephant","Beaver","t8","t15","t15","t15","t15","weak","right","7","congruent","diff",12028,1,1
