"","id","alltrial","experiment","agent","altAgent","rightFruit","leftFruit","corObjInf","corObjPrior","pick","prior","inf","trial","alignment","change","rt","correct_inf","correct_prior"
"1","02ff8d0cb4d788106ed2bbf01301d7fe","1","pref_medium","Elephant","Frog","bear","car","car","car","car","medium","left","train1","congruent","same",12085,1,1
"2","02ff8d0cb4d788106ed2bbf01301d7fe","2","pref_medium","Pig","Frog","ball","duck","ball","ball","ball","medium","right","train2","congruent","same",8001,1,1
"3","02ff8d0cb4d788106ed2bbf01301d7fe","3","pref_medium","Sheep","Frog","t3","t5","t3","t5","t3","medium","right","1","incongruent","diff",13289,1,0
"4","02ff8d0cb4d788106ed2bbf01301d7fe","4","pref_medium","Mouse","Cat","t4","t6","t6","t6","t6","medium","left","2","congruent","same",7123,1,1
"5","02ff8d0cb4d788106ed2bbf01301d7fe","5","pref_medium","Tiger","Cat","t18","t16","t16","t16","t16","medium","left","3","congruent","diff",7573,1,1
"6","02ff8d0cb4d788106ed2bbf01301d7fe","6","pref_medium","Beaver","Monkey","t14","t10","t10","t14","t14","medium","left","4","incongruent","diff",10397,0,1
"7","02ff8d0cb4d788106ed2bbf01301d7fe","7","pref_medium","Bear","Dog","t11","t9","t11","t11","t11","medium","right","5","congruent","same",7088,1,1
"8","02ff8d0cb4d788106ed2bbf01301d7fe","8","pref_medium","Pig","Dog","t2","t12","t2","t2","t2","medium","right","6","congruent","diff",8080,1,1
"9","02ff8d0cb4d788106ed2bbf01301d7fe","9","pref_medium","Elephant",NA,"t1","t13","t13","t1","t1","medium","left","7","incongruent","same",7293,0,1
"10","02ff8d0cb4d788106ed2bbf01301d7fe","10","pref_medium","Bunny",NA,"t17","t15","t17","t15","t15","medium","right","8","incongruent","same",8742,0,1
"11","095e6ec5b5f4dc8a2616a1bcc4b81ccd","1","pref_medium","Elephant","Mouse","bear","car","car","car","car","medium","left","train1","congruent","same",14939,1,1
"12","095e6ec5b5f4dc8a2616a1bcc4b81ccd","2","pref_medium","Pig","Mouse","ball","duck","ball","ball","ball","medium","right","train2","congruent","same",25152,1,1
"13","095e6ec5b5f4dc8a2616a1bcc4b81ccd","3","pref_medium","Beaver","Mouse","t3","t9","t9","t3","t9","medium","left","1","incongruent","diff",16324,1,0
"14","095e6ec5b5f4dc8a2616a1bcc4b81ccd","4","pref_medium","Sheep","Monkey","t10","t12","t12","t10","t10","medium","left","2","incongruent","same",13402,0,1
"15","095e6ec5b5f4dc8a2616a1bcc4b81ccd","5","pref_medium","Frog","Monkey","t4","t7","t4","t7","t7","medium","right","3","incongruent","same",13842,0,1
"16","095e6ec5b5f4dc8a2616a1bcc4b81ccd","6","pref_medium","Tiger","Monkey","t16","t2","t2","t2","t2","medium","left","4","congruent","diff",13807,1,1
"17","095e6ec5b5f4dc8a2616a1bcc4b81ccd","7","pref_medium","Pig","Elephant","t5","t13","t5","t5","t5","medium","right","5","congruent","same",13936,1,1
"18","095e6ec5b5f4dc8a2616a1bcc4b81ccd","8","pref_medium","Cat","Elephant","t8","t15","t15","t15","t15","medium","left","6","congruent","same",13619,1,1
"19","095e6ec5b5f4dc8a2616a1bcc4b81ccd","9","pref_medium","Bear","Elephant","t6","t1","t6","t6","t6","medium","right","7","congruent","diff",14575,1,1
