"","id","alltrial","experiment","agent","altAgent","rightFruit","leftFruit","corObjInf","corObjPrior","pick","prior","inf","trial","alignment","change","rt","correct_inf","correct_prior"
"1","03da1cde5c06a5d5818255466485239b","1","pref_strong","Elephant","Beaver","bear","car","car","car","bear","strong","left","train1","congruent","same",24211,0,0
"2","03da1cde5c06a5d5818255466485239b","2","pref_strong","Pig","Beaver","ball","duck","ball","ball","ball","strong","right","train2","congruent","same",7465,1,1
"3","03da1cde5c06a5d5818255466485239b","3","pref_strong","Dog","Beaver","t15","t11","t11","t11","t11","strong","left","1","congruent","same",12795,1,1
"4","03da1cde5c06a5d5818255466485239b","4","pref_strong","Pig","Beaver","t1","t8","t1","t8","t8","strong","right","2","incongruent","same",12495,0,1
"5","03da1cde5c06a5d5818255466485239b","5","pref_strong","Tiger","Beaver","t5","t12","t5","t12","t5","strong","right","3","incongruent","diff",8570,1,0
"6","03da1cde5c06a5d5818255466485239b","6","pref_strong","Sheep","Monkey","t16","t6","t16","t16","t16","strong","right","4","congruent","diff",7151,1,1
"7","03da1cde5c06a5d5818255466485239b","7","pref_strong","Bunny","Cat","t14","t2","t2","t14","t14","strong","left","5","incongruent","diff",7025,0,1
"8","03da1cde5c06a5d5818255466485239b","8","pref_strong","Mouse","Frog","t9","t17","t17","t9","t9","strong","left","6","incongruent","same",7144,0,1
"9","03da1cde5c06a5d5818255466485239b","9","pref_strong","Elephant","Frog","t13","t10","t13","t13","t13","strong","right","7","congruent","same",7035,1,1
"10","03da1cde5c06a5d5818255466485239b","10","pref_strong","Bear","Frog","t18","t3","t3","t3","t18","strong","left","8","congruent","diff",7101,0,0
"11","06652f470eff32592947be6a06c3ff5c","1","pref_strong","Elephant","Bunny","bear","car","car","car","car","strong","left","train1","congruent","same",12031,1,1
"12","06652f470eff32592947be6a06c3ff5c","2","pref_strong","Pig","Bunny","ball","duck","ball","ball","ball","strong","right","train2","congruent","same",9743,1,1
"13","06652f470eff32592947be6a06c3ff5c","3","pref_strong","Frog","Bunny","t9","t10","t10","t9","t10","strong","left","1","incongruent","diff",13990,1,0
"14","06652f470eff32592947be6a06c3ff5c","4","pref_strong","Sheep","Beaver","t2","t13","t2","t2","t2","strong","right","2","congruent","diff",12403,1,1
"15","06652f470eff32592947be6a06c3ff5c","5","pref_strong","Cat","Pig","t12","t1","t1","t1","t1","strong","left","3","congruent","diff",10786,1,1
"16","06652f470eff32592947be6a06c3ff5c","6","pref_strong","Dog","Mouse","t17","t16","t17","t16","t17","strong","right","4","incongruent","diff",12709,1,0
"17","06652f470eff32592947be6a06c3ff5c","7","pref_strong","Tiger",NA,"t14","t11","t11","t11","t11","strong","left","5","congruent","same",12560,1,1
