"","id","alltrial","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","control","rt","correct","targetObj"
"1","47a3e7a37a7571033d8dab3fb8e5e48b","1","informativeness","Elephant","car","bear","inner","car","left","train","false",10695,1,"car"
"2","47a3e7a37a7571033d8dab3fb8e5e48b","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",10358,1,"ball"
"3","47a3e7a37a7571033d8dab3fb8e5e48b","3","informativeness","Bunny","t10","t14","inner","t10","left","1","false",11668,1,"t10"
"4","47a3e7a37a7571033d8dab3fb8e5e48b","4","informativeness","Dog","t12","t9","inner","t9","right","2","false",11654,1,"t9"
"5","47a3e7a37a7571033d8dab3fb8e5e48b","5","informativeness","Sheep","t3","t5","outer","t3","left","3","false",10822,1,"t3"
"6","47a3e7a37a7571033d8dab3fb8e5e48b","6","informativeness","Mouse","t2","t11","inner","t11","right","4","false",9132,1,"t11"
"7","47a3e7a37a7571033d8dab3fb8e5e48b","7","informativeness","Tiger","t7","t4","inner","t7","left","5","false",8012,1,"t7"
"8","47a3e7a37a7571033d8dab3fb8e5e48b","8","informativeness","Monkey","t15","t8","inner","t8","right","6","false",12951,1,"t8"
"9","47a3e7a37a7571033d8dab3fb8e5e48b","9","informativeness","Elephant","t16","t6","inner","t6","right","7","false",11679,1,"t6"
"10","47a3e7a37a7571033d8dab3fb8e5e48b","10","informativeness","Cat","t17","t1","inner","t17","left","8","false",10902,1,"t17"
"11","750d36feb776e3a8f1fdb6af5adbd7b6","1","informativeness","Elephant","car","bear","inner","car","left","train","false",7815,1,"car"
"12","750d36feb776e3a8f1fdb6af5adbd7b6","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",7347,1,"ball"
"13","750d36feb776e3a8f1fdb6af5adbd7b6","3","informativeness","Sheep","t14","t1","outer","t14","left","1","false",9344,1,"t14"
"14","750d36feb776e3a8f1fdb6af5adbd7b6","4","informativeness","Cat","t3","t15","outer","t15","right","2","false",9225,1,"t15"
"15","750d36feb776e3a8f1fdb6af5adbd7b6","5","informativeness","Monkey","t9","t5","inner","t5","right","3","false",12783,1,"t5"
"16","750d36feb776e3a8f1fdb6af5adbd7b6","6","informativeness","Dog","t12","t11","inner","t12","left","4","false",11072,1,"t12"
"17","750d36feb776e3a8f1fdb6af5adbd7b6","7","informativeness","Bunny","t17","t8","outer","t17","right","5","false",8502,0,"t8"
"18","750d36feb776e3a8f1fdb6af5adbd7b6","8","informativeness","Pig","t4","t10","outer","t4","left","6","false",9041,1,"t4"
"19","750d36feb776e3a8f1fdb6af5adbd7b6","9","informativeness","Elephant","t16","t2","inner","t2","right","7","false",9364,1,"t2"
"20","750d36feb776e3a8f1fdb6af5adbd7b6","10","informativeness","Tiger","t6","t7","outer","t6","left","8","false",7253,1,"t6"
"21","757bbbd5a5bdaa655c3c8c9e8029850e","1","informativeness","Elephant","car","bear","inner","car","left","train","false",11184,1,"car"
"22","757bbbd5a5bdaa655c3c8c9e8029850e","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",10271,1,"ball"
"23","757bbbd5a5bdaa655c3c8c9e8029850e","3","informativeness","Frog","t4","t3","outer","t4","right","1","false",11769,0,"t3"
"24","757bbbd5a5bdaa655c3c8c9e8029850e","4","informativeness","Beaver","t6","t9","outer","t6","left","2","false",8544,1,"t6"
"25","757bbbd5a5bdaa655c3c8c9e8029850e","5","informativeness","Cat","t12","t16","outer","t16","left","3","false",9287,0,"t12"
"26","757bbbd5a5bdaa655c3c8c9e8029850e","6","informativeness","Tiger","t17","t5","outer","t5","left","4","false",10067,0,"t17"
"27","757bbbd5a5bdaa655c3c8c9e8029850e","7","informativeness","Elephant","t10","t8","inner","t8","right","5","false",11679,1,"t8"
"28","757bbbd5a5bdaa655c3c8c9e8029850e","8","informativeness","Bear","t14","t2","inner","t2","right","6","false",10400,1,"t2"
"29","757bbbd5a5bdaa655c3c8c9e8029850e","9","informativeness","Monkey","t11","t7","inner","t7","left","7","false",11184,0,"t11"
"30","757bbbd5a5bdaa655c3c8c9e8029850e","10","informativeness","Pig","t1","t15","inner","t1","right","8","false",11496,0,"t15"
"31","76e8e8a306ebf48302768be28385ca32","1","informativeness","Elephant","car","bear","inner","car","left","train","false",12311,1,"car"
"32","76e8e8a306ebf48302768be28385ca32","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",11638,1,"ball"
"33","76e8e8a306ebf48302768be28385ca32","3","informativeness","Dog","t6","t16","outer","t6","left","1","false",11888,1,"t6"
"34","76e8e8a306ebf48302768be28385ca32","4","informativeness","Bear","t4","t9","outer","t4","left","2","false",10731,1,"t4"
"35","76e8e8a306ebf48302768be28385ca32","5","informativeness","Monkey","t7","t3","outer","t3","right","3","false",11013,1,"t3"
"36","76e8e8a306ebf48302768be28385ca32","6","informativeness","Bunny","t17","t11","outer","t11","right","4","false",11844,1,"t11"
"37","76e8e8a306ebf48302768be28385ca32","7","informativeness","Tiger","t1","t15","inner","t1","left","5","false",11876,1,"t1"
"38","76e8e8a306ebf48302768be28385ca32","8","informativeness","Beaver","t5","t14","outer","t14","right","6","false",10653,1,"t14"
"39","76e8e8a306ebf48302768be28385ca32","9","informativeness","Mouse","t10","t2","outer","t10","left","7","false",13758,1,"t10"
"40","76e8e8a306ebf48302768be28385ca32","10","informativeness","Sheep","t8","t12","outer","t8","right","8","false",11001,0,"t12"
"41","77f72258d90bad9168e3bcbcf819d30e","1","informativeness","Elephant","car","bear","inner","car","left","train","false",16680,1,"car"
"42","77f72258d90bad9168e3bcbcf819d30e","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",10221,1,"ball"
"43","77f72258d90bad9168e3bcbcf819d30e","3","informativeness","Frog","t10","t11","inner","t11","right","1","false",12632,1,"t11"
"44","77f72258d90bad9168e3bcbcf819d30e","4","informativeness","Elephant","t4","t17","outer","t4","left","2","false",11723,1,"t4"
"45","77f72258d90bad9168e3bcbcf819d30e","5","informativeness","Mouse","t8","t3","outer","t8","left","3","false",16365,1,"t8"
"46","77f72258d90bad9168e3bcbcf819d30e","6","informativeness","Monkey","t12","t5","inner","t12","right","4","false",21969,0,"t5"
"47","77f72258d90bad9168e3bcbcf819d30e","7","informativeness","Sheep","t1","t6","outer","t1","right","5","false",9111,0,"t6"
"48","77f72258d90bad9168e3bcbcf819d30e","8","informativeness","Pig","t15","t2","inner","t2","left","6","false",11343,0,"t15"
"49","77f72258d90bad9168e3bcbcf819d30e","9","informativeness","Bear","t14","t9","inner","t14","right","7","false",10664,0,"t9"
"50","77f72258d90bad9168e3bcbcf819d30e","10","informativeness","Tiger","t16","t7","outer","t7","left","8","false",15805,0,"t16"
"51","7da623d151378de1d6b2d253f06897e5","1","informativeness","Elephant","car","bear","inner","car","left","train","false",11634,1,"car"
"52","7da623d151378de1d6b2d253f06897e5","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",10428,1,"ball"
"53","7da623d151378de1d6b2d253f06897e5","3","informativeness","Dog","t14","t16","inner","t14","left","1","false",17774,1,"t14"
"54","7da623d151378de1d6b2d253f06897e5","4","informativeness","Cat","t8","t3","outer","t3","right","2","false",12645,1,"t3"
"55","7da623d151378de1d6b2d253f06897e5","5","informativeness","Mouse","t2","t1","inner","t2","right","3","false",14746,0,"t1"
"56","7da623d151378de1d6b2d253f06897e5","6","informativeness","Sheep","t17","t4","inner","t4","left","4","false",13002,0,"t17"
"57","7da623d151378de1d6b2d253f06897e5","7","informativeness","Pig","t12","t5","inner","t5","right","5","false",12397,1,"t5"
"58","7da623d151378de1d6b2d253f06897e5","8","informativeness","Beaver","t15","t11","inner","t11","left","6","false",10842,0,"t15"
"59","7da623d151378de1d6b2d253f06897e5","9","informativeness","Bunny","t6","t7","outer","t7","right","7","false",11973,1,"t7"
"60","7da623d151378de1d6b2d253f06897e5","10","informativeness","Tiger","t9","t10","inner","t10","left","8","false",11562,0,"t9"
"61","8550029fe3cd343d22f46022408dfba4","1","informativeness","Elephant","car","bear","inner","car","left","train","false",10967,1,"car"
"62","8550029fe3cd343d22f46022408dfba4","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",10273,1,"ball"
"63","8550029fe3cd343d22f46022408dfba4","3","informativeness","Monkey","t6","t9","outer","t6","right","1","false",11222,0,"t9"
"64","8550029fe3cd343d22f46022408dfba4","4","informativeness","Frog","t8","t11","outer","t11","left","2","false",9706,0,"t8"
"65","8550029fe3cd343d22f46022408dfba4","5","informativeness","Dog","t15","t5","outer","t5","right","3","false",11819,1,"t5"
"66","8550029fe3cd343d22f46022408dfba4","6","informativeness","Pig","t16","t12","inner","t16","left","4","false",8848,1,"t16"
"67","8550029fe3cd343d22f46022408dfba4","7","informativeness","Elephant","t17","t10","outer","t10","right","5","false",12142,1,"t10"
"68","8550029fe3cd343d22f46022408dfba4","8","informativeness","Cat","t4","t14","inner","t4","right","6","false",9050,0,"t14"
"69","8550029fe3cd343d22f46022408dfba4","9","informativeness","Tiger","t2","t3","inner","t2","left","7","false",9745,1,"t2"
