"","id","alltrial","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","control","rt","correct"
"1","anon0_informativeness","1","informativeness","Elephant","car","bear","inner","car","left","train","false",11999,1
"2","anon0_informativeness","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",12521,1
"3","anon0_informativeness","3","informativeness","Monkey","t16","t1","inner","t16","right","1","false",10201,1
"4","anon0_informativeness","4","informativeness","Frog","t5","t15","outer","t15","left","2","true",10497,0
"5","anon0_informativeness","5","informativeness","Sheep","t17","t2","inner","t2","left","3","true",10006,0
"6","anon0_informativeness","6","informativeness","Dog","t10","t12","outer","t12","right","4","false",10449,1
"7","anon0_informativeness","7","informativeness","Mouse","t7","t11","inner","t11","right","5","true",26209,1
"8","anon0_informativeness","8","informativeness","Bunny","t4","t3","inner","t3","left","6","false",12609,0
"9","anon1_informativeness","1","informativeness","Elephant","car","bear","inner","car","left","train","false",11732,1
"10","anon1_informativeness","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",9639,1
"11","anon1_informativeness","3","informativeness","Frog","t11","t4","inner","t4","right","1","false",11201,1
"12","anon1_informativeness","4","informativeness","Bunny","t3","t5","inner","t3","right","2","true",10998,0
"13","anon1_informativeness","5","informativeness","Mouse","t16","t8","inner","t16","left","3","false",11927,1
"14","anon1_informativeness","6","informativeness","Monkey","t2","t7","outer","t7","left","4","true",9953,0
"15","anon1_informativeness","7","informativeness","Dog","t12","t17","outer","t17","right","5","false",10934,1
"16","anon1_informativeness","8","informativeness","Tiger","t1","t10","inner","t10","left","6","true",10951,1
"17","anon10_informativeness","1","informativeness","Elephant","car","bear","inner","car","left","train","false",11082,1
"18","anon10_informativeness","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",10417,1
"19","anon10_informativeness","3","informativeness","Bunny","t11","t12","outer","t12","right","1","false",11711,1
"20","anon10_informativeness","4","informativeness","Frog","t2","t5","inner","t2","left","2","true",10967,1
"21","anon10_informativeness","5","informativeness","Mouse","t16","t15","outer","t15","right","3","false",12439,1
"22","anon10_informativeness","6","informativeness","Dog","t4","t8","outer","t4","right","4","true",11158,0
"23","anon10_informativeness","7","informativeness","Monkey","t3","t17","outer","t3","left","5","false",10164,1
"24","anon10_informativeness","8","informativeness","Tiger","t10","t7","outer","t7","left","6","true",11152,0
"25","anon11_informativeness","1","informativeness","Elephant","car","bear","inner","car","left","train","false",10768,1
"26","anon11_informativeness","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",9666,1
"27","anon11_informativeness","3","informativeness","Frog","t5","t10","outer","t5","left","1","false",10642,1
"28","anon11_informativeness","4","informativeness","Bear","t2","t8","outer","t8","left","2","true",11038,0
"29","anon11_informativeness","5","informativeness","Monkey","t15","t7","outer","t15","left","3","true",9946,1
"30","anon11_informativeness","6","informativeness","Mouse","t12","t17","outer","t12","right","4","false",11345,0
"31","anon11_informativeness","7","informativeness","Cat","t11","t1","inner","t1","right","5","false",9609,1
"32","anon11_informativeness","8","informativeness","Tiger","t16","t3","outer","t16","right","6","true",10399,0
"33","anon12_informativeness","1","informativeness","Elephant","car","bear","inner","car","left","train","false",13417,1
"34","anon12_informativeness","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",9586,1
"35","anon12_informativeness","3","informativeness","Mouse","t7","t3","inner","t3","left","1","true",12481,0
"36","anon12_informativeness","4","informativeness","Monkey","t2","t4","inner","t4","right","2","false",10946,1
"37","anon12_informativeness","5","informativeness","Frog","t5","t11","outer","t11","left","3","true",11666,0
"38","anon12_informativeness","6","informativeness","Tiger","t12","t1","inner","t12","right","4","false",10554,1
"39","anon12_informativeness","7","informativeness","Dog","t10","t8","outer","t8","left","5","false",10396,0
