"","alltrial","subid","age","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","control","rt","correct","targetObj","age_num"
"1","1","180405_2_inf","2","informativeness","Elephant","car","bear","inner","bear","left","train","false",12933,0,"car",2.65479452054795
"2","2","180405_2_inf","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",11724,1,"ball",2.65479452054795
"3","3","180405_2_inf","2","informativeness","Dog","t15","t1","inner","t1","right","1","false",16142,1,"t1",2.65479452054795
"4","4","180405_2_inf","2","informativeness","Elephant","t2","t16","outer","t16","left","2","true",20340,0,"t2",2.65479452054795
"5","5","180405_2_inf","2","informativeness","Mouse","t4","t12","outer","t4","right","3","false",16679,0,"t12",2.65479452054795
"6","6","180405_2_inf","2","informativeness","Beaver","t14","t17","outer","t14","right","4","true",11790,0,"t17",2.65479452054795
"7","7","180405_2_inf","2","informativeness","Tiger","t8","t11","inner","t8","left","5","true",16744,1,"t8",2.65479452054795
"8","8","180405_2_inf","2","informativeness","Cat","t6","t10","inner","t10","right","6","false",12657,1,"t10",2.65479452054795
"9","9","180405_2_inf","2","informativeness","Sheep","t7","t9","outer","t9","left","7","true",15560,0,"t7",2.65479452054795
"10","10","180405_2_inf","2","informativeness","Frog","t5","t3","inner","t5","left","8","false",12605,1,"t5",2.65479452054795
"11","1","180718","2","informativeness","Elephant","car","bear","inner","car","left","train","false",19987,1,"car",2.50958904109589
"12","2","180718","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",16538,1,"ball",2.50958904109589
"13","3","180718","2","informativeness","Bear","t12","t4","outer","t4","right","1","false",14406,1,"t4",2.50958904109589
"14","4","180718","2","informativeness","Frog","t1","t15","outer","t15","right","2","true",20162,1,"t15",2.50958904109589
"15","5","180718","2","informativeness","Pig","t16","t9","outer","t16","left","3","false",16355,1,"t16",2.50958904109589
"16","6","180718","2","informativeness","Tiger","t17","t5","inner","t5","right","4","true",33342,1,"t5",2.50958904109589
"17","7","180718","2","informativeness","Monkey","t8","t2","inner","t2","right","5","true",18781,1,"t2",2.50958904109589
"18","8","180718","2","informativeness","Beaver","t10","t11","inner","t10","left","6","false",17618,1,"t10",2.50958904109589
"19","9","180718","2","informativeness","Dog","t7","t3","inner","t7","left","7","true",24126,1,"t7",2.50958904109589
"20","10","180718","2","informativeness","Sheep","t6","t14","outer","t14","left","8","false",14998,0,"t6",2.50958904109589
"21","1","180718_9_inf","3","informativeness","Elephant","car","bear","inner","car","left","train","false",13049,1,"car",3.97534246575342
"22","2","180718_9_inf","3","informativeness","Pig","duck","ball","outer","ball","right","train","false",12398,1,"ball",3.97534246575342
"23","3","180718_9_inf","3","informativeness","Tiger","t4","t9","outer","t9","left","1","true",12810,0,"t4",3.97534246575342
"24","4","180718_9_inf","3","informativeness","Pig","t11","t1","inner","t11","right","2","false",11349,0,"t1",3.97534246575342
"25","5","180718_9_inf","3","informativeness","Beaver","t10","t16","outer","t16","left","3","true",10326,0,"t10",3.97534246575342
"26","6","180718_9_inf","3","informativeness","Dog","t12","t6","inner","t12","left","4","false",11074,1,"t12",3.97534246575342
"27","7","180718_9_inf","3","informativeness","Sheep","t14","t8","inner","t14","left","5","false",10941,1,"t14",3.97534246575342
"28","8","180718_9_inf","3","informativeness","Cat","t7","t17","inner","t17","right","6","true",10130,1,"t17",3.97534246575342
"29","9","180718_9_inf","3","informativeness","Elephant","t5","t15","outer","t5","right","7","true",9258,0,"t15",3.97534246575342
"30","10","180718_9_inf","3","informativeness","Bear","t3","t2","outer","t3","right","8","false",11289,0,"t2",3.97534246575342
