"","alltrial","id","age","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","1","120503_2_pref","2","preference","Elephant","Pig","car","bear","car","left","train","false",30664,1
"2","2","120503_2_pref","2","preference","Pig","Pig","duck","ball","ball","right","train","false",16229,1
"3","3","120503_2_pref","2","preference","Tiger","Pig","t4","t3","t3","right","1","true",22398,1
"4","4","120503_2_pref","2","preference","Dog","Bear","t12","t6","t6","right","2","false",17716,1
"5","5","120503_2_pref","2","preference","Elephant","Bear","t17","t15","t15","left","3","true",17798,0
"6","6","120503_2_pref","2","preference","Sheep","Mouse","t14","t11","t14","left","4","false",18937,1
"7","7","120503_2_pref","2","preference","Cat","Mouse","t5","t9","t9","right","5","false",12890,1
"8","8","120503_2_pref","2","preference","Beaver","Mouse","t16","t2","t2","right","6","true",17614,1
"9","9","120503_2_pref","2","preference","Monkey","Frog","t1","t10","t1","left","7","true",8402,1
"10","10","120503_2_pref","2","preference","Bunny",NA,"t8","t7","t8","left","8","false",8162,1
"11","1","180405_1_pref","2","preference","Elephant","Pig","car","bear","car","left","train","false",10127,1
"12","2","180405_1_pref","2","preference","Pig","Pig","duck","ball","ball","right","train","false",13182,1
"13","3","180405_1_pref","2","preference","Monkey","Pig","t11","t8","t11","left","1","false",10923,1
"14","4","180405_1_pref","2","preference","Sheep","Pig","t2","t6","t6","left","2","true",15437,0
"15","5","180405_1_pref","2","preference","Bunny","Frog","t4","t17","t17","right","3","true",17818,1
"16","6","180405_1_pref","2","preference","Dog","Cat","t15","t16","t16","right","4","false",14294,1
"17","7","180405_1_pref","2","preference","Bear","Cat","t3","t14","t14","right","5","false",13584,1
"18","8","180405_1_pref","2","preference","Beaver","Cat","t7","t12","t7","left","6","true",13716,1
"19","9","180405_1_pref","2","preference","Tiger","Mouse","t5","t10","t5","right","7","true",25414,0
"20","10","180405_1_pref","2","preference","Elephant",NA,"t1","t9","t1","left","8","false",16918,1
"21","1","180419_1_pref","3","preference","Elephant","Beaver","car","bear","car","left","train","false",14084,1
"22","2","180419_1_pref","3","preference","Pig","Beaver","duck","ball","ball","right","train","false",10365,1
"23","3","180419_1_pref","3","preference","Bunny","Beaver","t16","t4","t4","left","1","true",26251,0
"24","4","180419_1_pref","3","preference","Pig","Dog","t17","t2","t2","left","2","false",13515,0
"25","5","180419_1_pref","3","preference","Sheep","Dog","t1","t8","t8","right","3","true",14527,1
"26","6","180419_1_pref","3","preference","Cat","Frog","t9","t12","t9","right","4","false",14962,0
"27","7","180419_1_pref","3","preference","Mouse","Frog","t14","t11","t11","left","5","false",16230,0
"28","8","180419_1_pref","3","preference","Tiger","Frog","t6","t15","t15","right","6","true",15100,1
"29","9","180419_1_pref","3","preference","Bear","Elephant","t10","t3","t10","right","7","true",13789,0
"30","10","180419_1_pref","3","preference","Monkey",NA,"t5","t7","t7","left","8","false",14427,0
"31","1","180420_1"," 3","preference","Elephant","Monkey","car","bear","car","left","train","false",13722,1
"32","2","180420_1"," 3","preference","Pig","Monkey","duck","ball","ball","right","train","false",10860,1
"33","3","180420_1"," 3","preference","Beaver","Monkey","t16","t8","t8","right","1","false",12671,1
"34","4","180420_1"," 3","preference","Bunny","Monkey","t17","t11","t11","right","2","true",12910,1
"35","5","180420_1"," 3","preference","Elephant","Dog","t3","t2","t3","left","3","true",13753,1
"36","6","180420_1"," 3","preference","Sheep","Tiger","t4","t5","t4","left","4","false",13179,1
"37","7","180420_1"," 3","preference","Cat","Tiger","t14","t1","t1","right","5","false",13853,1
"38","8","180420_1"," 3","preference","Frog","Tiger","t7","t12","t12","left","6","true",13652,0
"39","9","180420_1"," 3","preference","Mouse","Bear","t9","t10","t9","right","7","true",10215,0
"40","10","180420_1"," 3","preference","Pig",NA,"t6","t15","t6","left","8","false",13658,1
"41","1","180420_2_pref","4","preference","Elephant","Sheep","car","bear","car","left","train","false",11741,1
"42","2","180420_2_pref","4","preference","Pig","Sheep","duck","ball","ball","right","train","false",10318,1
"43","3","180420_2_pref","4","preference","Frog","Sheep","t7","t5","t5","left","1","false",17848,0
"44","4","180420_2_pref","4","preference","Pig","Sheep","t3","t10","t3","left","2","true",16939,1
"45","5","180420_2_pref","4","preference","Elephant","Cat","t2","t15","t15","right","3","true",15214,1
"46","6","180420_2_pref","4","preference","Beaver","Bear","t9","t14","t14","right","4","false",12978,1
"47","7","180420_2_pref","4","preference","Mouse","Bear","t4","t11","t4","left","5","false",16048,1
"48","8","180420_2_pref","4","preference","Tiger","Bear","t8","t1","t1","left","6","true",12323,0
"49","9","180420_2_pref","4","preference","Dog","Bunny","t12","t17","t17","right","7","false",13486,1
"50","10","180420_2_pref","4","preference","Monkey","Bunny","t16","t6","t16","right","8","true",13951,0
"51","1","180420_3_pref","3","preference","Elephant","Pig","car","bear","car","left","train","false",11413,1
"52","2","180420_3_pref","3","preference","Pig","Pig","duck","ball","ball","right","train","false",10514,1
"53","3","180420_3_pref","3","preference","Elephant","Pig","t2","t15","t15","left","1","true",34318,0
"54","4","180420_3_pref","3","preference","Beaver","Monkey","t17","t14","t14","right","2","false",21206,1
"55","5","180420_3_pref","3","preference","Frog","Monkey","t16","t5","t16","right","3","true",18616,0
"56","6","180420_3_pref","3","preference","Bunny","Bear","t3","t11","t11","left","4","false",19378,0
"57","7","180420_3_pref","3","preference","Cat","Bear","t4","t6","t6","left","5","true",17280,0
"58","8","180420_3_pref","3","preference","Tiger","Mouse","t12","t8","t8","left","6","false",22753,0
"59","9","180420_3_pref","3","preference","Dog","Mouse","t1","t7","t1","right","7","true",24341,0
"60","10","180420_3_pref","3","preference","Sheep",NA,"t10","t9","t9","right","8","false",14584,1
"61","1","180420_4_pref","4","preference","Elephant","Elephant","car","bear","car","left","train","false",11147,1
"62","2","180420_4_pref","4","preference","Pig","Elephant","duck","ball","ball","right","train","false",10314,1
"63","3","180420_4_pref","4","preference","Monkey","Elephant","t10","t6","t10","right","1","false",13979,0
"64","4","180420_4_pref","4","preference","Bear","Elephant","t3","t2","t2","right","2","true",18201,1
"65","5","180420_4_pref","4","preference","Beaver","Bunny","t16","t11","t11","right","3","true",14901,1
"66","6","180420_4_pref","4","preference","Sheep","Mouse","t14","t12","t12","left","4","false",13494,0
"67","7","180420_4_pref","4","preference","Pig","Mouse","t7","t1","t1","left","5","true",15183,0
"68","8","180420_4_pref","4","preference","Cat","Dog","t17","t5","t5","right","6","false",14000,1
"69","9","180420_4_pref","4","preference","Frog","Dog","t9","t15","t15","left","7","false",13784,0
"70","10","180420_4_pref","4","preference","Tiger","Dog","t8","t4","t8","left","8","true",13468,1
"71","1","180425_1_pref","3","preference","Elephant","Bunny","car","bear","car","left","train","false",13507,1
"72","2","180425_1_pref","3","preference","Pig","Bunny","duck","ball","ball","right","train","false",11470,1
"73","3","180425_1_pref","3","preference","Beaver","Bunny","t4","t12","t12","right","1","true",15706,1
"74","4","180425_1_pref","3","preference","Frog","Dog","t15","t17","t15","right","2","false",14917,0
"75","5","180425_1_pref","3","preference","Mouse","Dog","t3","t11","t11","left","3","false",15169,0
"76","6","180425_1_pref","3","preference","Cat","Dog","t14","t16","t16","left","4","true",15108,0
"77","7","180425_1_pref","3","preference","Tiger","Bear","t9","t8","t8","right","5","true",14333,1
"78","8","180425_1_pref","3","preference","Sheep","Pig","t7","t5","t5","left","6","false",12905,0
"79","9","180425_1_pref","3","preference","Monkey","Pig","t2","t10","t10","left","7","true",13627,0
"80","10","180425_1_pref","3","preference","Elephant",NA,"t1","t6","t1","right","8","false",14271,0
"81","1","180425_2_pref","4","preference","Elephant","Mouse","car","bear","car","left","train","false",10892,1
"82","2","180425_2_pref","4","preference","Pig","Mouse","duck","ball","ball","right","train","false",9915,1
"83","3","180425_2_pref","4","preference","Bunny","Mouse","t2","t4","t4","left","1","false",14454,0
"84","4","180425_2_pref","4","preference","Monkey","Mouse","t12","t3","t3","left","2","true",16452,0
"85","5","180425_2_pref","4","preference","Beaver","Bear","t5","t14","t5","left","3","false",13232,1
"86","6","180425_2_pref","4","preference","Elephant","Bear","t7","t15","t15","left","4","true",12856,0
"87","7","180425_2_pref","4","preference","Sheep","Pig","t10","t6","t6","right","5","false",8387,1
"88","8","180425_2_pref","4","preference","Tiger","Pig","t9","t11","t11","right","6","true",13706,1
"89","9","180425_2_pref","4","preference","Cat","Frog","t8","t16","t8","right","7","true",13621,0
"90","10","180425_2_pref","4","preference","Dog",NA,"t17","t1","t1","right","8","false",13511,1
"91","1","180425_3_pref","4","preference","Elephant","Bear","car","bear","car","left","train","false",12412,1
"92","2","180425_3_pref","4","preference","Pig","Bear","duck","ball","ball","right","train","false",10403,1
"93","3","180425_3_pref","4","preference","Cat","Bear","t15","t1","t1","left","1","true",13566,0
