"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","anon0_novelty","1","novelty","Elephant","Monkey","car","bear","car","left","train","false",12202,1
"2","anon0_novelty","2","novelty","Pig","Monkey","duck","ball","ball","right","train","false",9987,1
"3","anon0_novelty","3","novelty","Tiger","Monkey","t12","t18","t18","right","1","false",13986,1
"4","anon0_novelty","4","novelty","Mouse","Monkey","t3","t16","t3","right","2","true",14020,0
"5","anon0_novelty","5","novelty","Dog","Frog","t17","t7","t7","left","3","true",14136,0
"6","anon0_novelty","6","novelty","Bear","Cat","t8","t13","t8","left","4","false",13666,1
"7","anon0_novelty","7","novelty","Sheep","Cat","t6","t2","t2","right","5","false",13103,1
"8","anon0_novelty","8","novelty","Bunny","Cat","t5","t11","t11","left","6","true",13791,0
"9","anon1_novelty","1","novelty","Elephant","Bunny","car","bear","car","left","train","false",11239,1
"10","anon1_novelty","2","novelty","Pig","Bunny","duck","ball","ball","right","train","false",10718,1
"11","anon1_novelty","3","novelty","Mouse","Bunny","t16","t15","t16","left","1","false",15043,1
"12","anon1_novelty","4","novelty","Tiger","Bunny","t7","t13","t13","left","2","true",14299,0
"13","anon1_novelty","5","novelty","Sheep","Monkey","t10","t8","t8","left","3","false",13574,0
"14","anon1_novelty","6","novelty","Dog","Monkey","t12","t3","t12","right","4","true",14022,0
"15","anon1_novelty","7","novelty","Cat","Bear","t18","t6","t18","right","5","true",11847,0
"16","anon1_novelty","8","novelty","Frog",NA,"t5","t11","t11","right","6","false",13469,1
"17","anon10_novelty","1","novelty","Elephant","Monkey","car","bear","car","left","train","false",11886,1
"18","anon10_novelty","2","novelty","Pig","Monkey","duck","ball","ball","right","train","false",10926,1
"19","anon10_novelty","3","novelty","Dog","Monkey","t3","t18","t18","right","1","true",13115,1
"20","anon10_novelty","4","novelty","Tiger","Frog","t2","t7","t7","left","2","false",13811,0
"21","anon10_novelty","5","novelty","Cat","Frog","t1","t5","t1","right","3","true",13612,0
"22","anon10_novelty","6","novelty","Mouse","Bunny","t6","t10","t10","right","4","false",14790,1
"23","anon10_novelty","7","novelty","Bear","Bunny","t17","t15","t15","left","5","true",13475,0
"24","anon10_novelty","8","novelty","Sheep",NA,"t16","t12","t16","left","6","false",12805,1
"25","anon11_novelty","1","novelty","Elephant","Monkey","car","bear","car","left","train","false",11166,1
"26","anon11_novelty","2","novelty","Pig","Monkey","duck","ball","ball","right","train","false",9288,1
"27","anon11_novelty","3","novelty","Frog","Monkey","t2","t5","t5","right","1","true",13965,1
"28","anon11_novelty","4","novelty","Tiger","Bunny","t18","t3","t18","right","2","false",13247,0
"29","anon11_novelty","5","novelty","Dog","Bunny","t6","t8","t6","left","3","false",13200,1
"30","anon11_novelty","6","novelty","Mouse","Bunny","t13","t15","t13","right","4","true",14166,0
"31","anon11_novelty","7","novelty","Cat","Sheep","t12","t11","t12","left","5","false",12955,1
"32","anon11_novelty","8","novelty","Bear","Sheep","t16","t17","t17","left","6","true",12704,0
"33","anon12_novelty","1","novelty","Elephant","Monkey","car","bear","car","left","train","false",16959,1
"34","anon12_novelty","2","novelty","Pig","Monkey","duck","ball","ball","right","train","false",10100,1
"35","anon12_novelty","3","novelty","Mouse","Monkey","t10","t8","t8","right","1","false",19109,1
"36","anon12_novelty","4","novelty","Dog","Monkey","t7","t3","t7","right","2","true",15153,0
"37","anon12_novelty","5","novelty","Tiger","Bear","t15","t18","t15","left","3","true",12720,1
"38","anon12_novelty","6","novelty","Cat","Frog","t2","t13","t2","left","4","false",15807,1
"39","anon12_novelty","7","novelty","Sheep","Frog","t12","t11","t11","left","5","true",12954,0
"40","anon12_novelty","8","novelty","Bunny",NA,"t6","t5","t5","right","6","false",15684,1
"41","anon13_novelty","1","novelty","Elephant","Frog","car","bear","car","left","train","false",12000,1
"42","anon13_novelty","2","novelty","Pig","Frog","duck","ball","ball","right","train","false",9680,1
"43","anon13_novelty","3","novelty","Tiger","Frog","t10","t1","t10","left","1","false",12188,1
