"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","0611f4d780071d9ee5161bff06ca1583","1","novelty","Elephant","Cat","car","bear","car","left","train","false",12251,1
"2","0611f4d780071d9ee5161bff06ca1583","2","novelty","Pig","Cat","duck","ball","ball","right","train","false",9706,1
"3","0611f4d780071d9ee5161bff06ca1583","3","novelty","Frog","Cat","t6","t18","t6","left","1","false",13653,1
"4","0611f4d780071d9ee5161bff06ca1583","4","novelty","Elephant","Cat","t2","t4","t4","left","2","true",11507,0
"5","0611f4d780071d9ee5161bff06ca1583","5","novelty","Pig","Tiger","t11","t3","t3","right","3","false",10201,1
"6","0611f4d780071d9ee5161bff06ca1583","6","novelty","Dog","Tiger","t8","t5","t5","right","4","true",11128,1
"7","0611f4d780071d9ee5161bff06ca1583","7","novelty","Bear","Beaver","t7","t13","t7","right","5","true",10023,0
"8","0611f4d780071d9ee5161bff06ca1583","8","novelty","Bunny","Sheep","t14","t12","t12","right","6","false",11004,1
"9","0611f4d780071d9ee5161bff06ca1583","9","novelty","Monkey","Sheep","t15","t9","t9","left","7","true",11887,0
"10","0611f4d780071d9ee5161bff06ca1583","10","novelty","Mouse",NA,"t10","t1","t10","left","8","false",7975,1
"11","06652f470eff32592947be6a06c3ff5c","1","novelty","Elephant","Elephant","car","bear","car","left","train","false",10556,1
"12","06652f470eff32592947be6a06c3ff5c","2","novelty","Pig","Elephant","duck","ball","ball","right","train","false",10097,1
"13","06652f470eff32592947be6a06c3ff5c","3","novelty","Frog","Elephant","t11","t4","t11","right","1","false",11633,0
"14","06652f470eff32592947be6a06c3ff5c","4","novelty","Dog","Elephant","t6","t1","t6","left","2","true",8680,1
"15","06652f470eff32592947be6a06c3ff5c","5","novelty","Mouse","Tiger","t16","t12","t12","right","3","true",9514,1
"16","06652f470eff32592947be6a06c3ff5c","6","novelty","Monkey","Pig","t3","t13","t3","right","4","false",10947,0
"17","06652f470eff32592947be6a06c3ff5c","7","novelty","Bunny","Pig","t10","t5","t5","left","5","false",8083,0
"18","06652f470eff32592947be6a06c3ff5c","8","novelty","Sheep","Pig","t8","t9","t8","left","6","true",9102,1
"19","06652f470eff32592947be6a06c3ff5c","9","novelty","Cat","Bear","t14","t7","t7","left","7","true",7549,0
"20","06652f470eff32592947be6a06c3ff5c","10","novelty","Beaver",NA,"t18","t2","t2","right","8","false",8829,1
"21","0e4338645fde899d19e3105d9967df7f","1","novelty","Elephant","Tiger","car","bear","car","left","train","false",14953,1
"22","0e4338645fde899d19e3105d9967df7f","2","novelty","Pig","Tiger","duck","ball","ball","right","train","false",10202,1
"23","0e4338645fde899d19e3105d9967df7f","3","novelty","Beaver","Tiger","t1","t4","t4","right","1","true",11601,1
"24","0e4338645fde899d19e3105d9967df7f","4","novelty","Cat","Frog","t2","t3","t3","right","2","false",11901,1
"25","0e4338645fde899d19e3105d9967df7f","5","novelty","Bunny","Frog","t10","t7","t7","right","3","true",9563,1
"26","0e4338645fde899d19e3105d9967df7f","6","novelty","Mouse","Dog","t13","t12","t13","left","4","false",9794,1
"27","0e4338645fde899d19e3105d9967df7f","7","novelty","Bear","Dog","t8","t5","t8","left","5","true",7353,1
"28","0e4338645fde899d19e3105d9967df7f","8","novelty","Pig","Sheep","t11","t17","t11","left","6","false",8130,1
"29","0e4338645fde899d19e3105d9967df7f","9","novelty","Monkey","Sheep","t15","t6","t15","right","7","true",10553,0
"30","0e4338645fde899d19e3105d9967df7f","10","novelty","Elephant",NA,"t9","t16","t9","left","8","false",10442,1
"31","14bab3f94e08859f6d6336f604e182be","1","novelty","Elephant","Sheep","car","bear","bear","left","train","false",8551,0
"32","14bab3f94e08859f6d6336f604e182be","2","novelty","Pig","Sheep","duck","ball","ball","right","train","false",7823,1
"33","14bab3f94e08859f6d6336f604e182be","3","novelty","Bear","Sheep","t2","t5","t2","left","1","false",8399,1
"34","14bab3f94e08859f6d6336f604e182be","4","novelty","Pig","Sheep","t18","t10","t18","right","2","true",9647,0
"35","14bab3f94e08859f6d6336f604e182be","5","novelty","Tiger","Elephant","t14","t4","t4","left","3","true",9422,0
"36","14bab3f94e08859f6d6336f604e182be","6","novelty","Dog","Cat","t9","t17","t17","left","4","false",8373,0
"37","14bab3f94e08859f6d6336f604e182be","7","novelty","Bunny","Cat","t12","t13","t13","right","5","false",8006,1
"38","14bab3f94e08859f6d6336f604e182be","8","novelty","Beaver","Cat","t1","t6","t1","left","6","true",8254,1
"39","14bab3f94e08859f6d6336f604e182be","9","novelty","Frog","Mouse","t8","t7","t7","right","7","false",9180,1
"40","14bab3f94e08859f6d6336f604e182be","10","novelty","Monkey","Mouse","t15","t11","t11","right","8","true",7514,1
"41","2a505128fd14da00fcf4154de3b61a3c","1","novelty","Elephant","Dog","car","bear","car","left","train","false",7046,1
"42","2a505128fd14da00fcf4154de3b61a3c","2","novelty","Pig","Dog","duck","ball","ball","right","train","false",9469,1
"43","2a505128fd14da00fcf4154de3b61a3c","3","novelty","Pig","Dog","t4","t3","t4","left","1","true",10645,1
"44","2a505128fd14da00fcf4154de3b61a3c","4","novelty","Sheep","Mouse","t2","t17","t17","left","2","false",10539,0
"45","2a505128fd14da00fcf4154de3b61a3c","5","novelty","Frog","Mouse","t18","t16","t16","right","3","true",9300,1
"46","2a505128fd14da00fcf4154de3b61a3c","6","novelty","Beaver","Bunny","t8","t1","t8","left","4","false",7069,1
"47","2a505128fd14da00fcf4154de3b61a3c","7","novelty","Bear","Bunny","t12","t14","t12","right","5","true",10568,0
"48","2a505128fd14da00fcf4154de3b61a3c","8","novelty","Monkey","Tiger","t5","t13","t5","right","6","false",7868,0
"49","2a505128fd14da00fcf4154de3b61a3c","9","novelty","Elephant","Tiger","t15","t9","t9","right","7","false",15300,1
"50","2a505128fd14da00fcf4154de3b61a3c","10","novelty","Cat","Tiger","t6","t11","t6","left","8","true",8087,1
"51","2c62223bd1f2b4e1ae5bedf688c421dc","1","novelty","Elephant","Tiger","car","bear","car","left","train","false",10771,1
"52","2c62223bd1f2b4e1ae5bedf688c421dc","2","novelty","Pig","Tiger","duck","ball","ball","right","train","false",10196,1
"53","2c62223bd1f2b4e1ae5bedf688c421dc","3","novelty","Frog","Tiger","t14","t1","t1","right","1","false",14127,1
"54","2c62223bd1f2b4e1ae5bedf688c421dc","4","novelty","Beaver","Tiger","t9","t15","t15","left","2","true",11392,0
"55","2c62223bd1f2b4e1ae5bedf688c421dc","5","novelty","Cat","Mouse","t5","t3","t3","right","3","true",12554,1
"56","2c62223bd1f2b4e1ae5bedf688c421dc","6","novelty","Bunny","Sheep","t11","t7","t11","left","4","false",11847,1
"57","2c62223bd1f2b4e1ae5bedf688c421dc","7","novelty","Monkey","Sheep","t16","t6","t16","left","5","false",10710,1
"58","2c62223bd1f2b4e1ae5bedf688c421dc","8","novelty","Bear","Sheep","t10","t13","t10","right","6","true",13674,0
"59","2c62223bd1f2b4e1ae5bedf688c421dc","9","novelty","Pig","Dog","t17","t18","t17","right","7","true",13133,0
"60","2c62223bd1f2b4e1ae5bedf688c421dc","10","novelty","Elephant",NA,"t4","t2","t4","left","8","false",13761,1
"61","2fb8976cfbf7d7be995a3556c1a5dcfb","1","novelty","Elephant","Monkey","car","bear","car","left","train","false",11482,1
"62","2fb8976cfbf7d7be995a3556c1a5dcfb","2","novelty","Pig","Monkey","duck","ball","duck","right","train","false",16033,0
"63","2fb8976cfbf7d7be995a3556c1a5dcfb","3","novelty","Frog","Monkey","t12","t18","t18","left","1","true",63474,0
"64","2fb8976cfbf7d7be995a3556c1a5dcfb","4","novelty","Dog","Pig","t9","t4","t4","left","2","false",14042,0
