"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","04701db0480b5a00d932c09d28e57327","1","novelty","Elephant","Elephant","car","bear","car","left","train","false",11754,1
"2","04701db0480b5a00d932c09d28e57327","2","novelty","Pig","Elephant","duck","ball","ball","right","train","false",9441,1
"3","04701db0480b5a00d932c09d28e57327","3","novelty","Dog","Elephant","t15","t4","t15","right","1","false",14743,0
"4","04701db0480b5a00d932c09d28e57327","4","novelty","Monkey","Elephant","t11","t12","t11","left","2","true",11734,1
"5","04701db0480b5a00d932c09d28e57327","5","novelty","Beaver","Tiger","t13","t8","t8","right","3","true",11028,1
"6","04701db0480b5a00d932c09d28e57327","6","novelty","Bunny","Sheep","t18","t2","t18","left","4","false",10684,1
"7","04701db0480b5a00d932c09d28e57327","7","novelty","Frog","Sheep","t16","t9","t9","right","5","false",10391,1
"8","04701db0480b5a00d932c09d28e57327","8","novelty","Bear","Sheep","t14","t1","t1","right","6","true",10164,1
"9","04701db0480b5a00d932c09d28e57327","9","novelty","Cat","Mouse","t6","t7","t6","left","7","true",10463,1
"10","04701db0480b5a00d932c09d28e57327","10","novelty","Pig",NA,"t10","t17","t10","left","8","false",8587,1
"11","0a4a1b80ee524253d4b5867219b2e7b9","1","novelty","Elephant","Pig","car","bear","car","left","train","false",11778,1
"12","0a4a1b80ee524253d4b5867219b2e7b9","2","novelty","Pig","Pig","duck","ball","ball","right","train","false",10361,1
"13","0a4a1b80ee524253d4b5867219b2e7b9","3","novelty","Frog","Pig","t10","t3","t10","right","1","true",13516,0
"14","0a4a1b80ee524253d4b5867219b2e7b9","4","novelty","Monkey","Sheep","t8","t13","t8","right","2","false",11067,0
"15","0a4a1b80ee524253d4b5867219b2e7b9","5","novelty","Bunny","Sheep","t2","t12","t12","left","3","false",11580,0
"16","0a4a1b80ee524253d4b5867219b2e7b9","6","novelty","Elephant","Sheep","t5","t1","t5","right","4","true",10910,0
"17","0a4a1b80ee524253d4b5867219b2e7b9","7","novelty","Beaver","Cat","t6","t16","t6","right","5","false",9846,0
"18","0a4a1b80ee524253d4b5867219b2e7b9","8","novelty","Mouse","Cat","t15","t7","t7","left","6","true",10833,0
"19","0a4a1b80ee524253d4b5867219b2e7b9","9","novelty","Bear","Dog","t17","t11","t11","left","7","false",12742,0
"20","0a4a1b80ee524253d4b5867219b2e7b9","10","novelty","Tiger","Dog","t14","t9","t9","left","8","true",14197,0
"21","13035940aa78138aa9d57903dbdecb24","1","novelty","Elephant","Elephant","car","bear","car","left","train","false",11258,1
"22","13035940aa78138aa9d57903dbdecb24","2","novelty","Pig","Elephant","duck","ball","ball","right","train","false",9642,1
"23","13035940aa78138aa9d57903dbdecb24","3","novelty","Mouse","Elephant","t6","t14","t6","right","1","true",35032,0
"24","13035940aa78138aa9d57903dbdecb24","4","novelty","Cat","Pig","t11","t17","t17","right","2","false",16098,1
"25","13035940aa78138aa9d57903dbdecb24","5","novelty","Frog","Pig","t9","t2","t9","left","3","false",10366,1
"26","13035940aa78138aa9d57903dbdecb24","6","novelty","Dog","Pig","t3","t10","t3","left","4","true",12833,1
"27","13035940aa78138aa9d57903dbdecb24","7","novelty","Tiger","Sheep","t12","t5","t5","right","5","true",25083,1
"28","13035940aa78138aa9d57903dbdecb24","8","novelty","Monkey","Bunny","t18","t13","t13","right","6","false",7477,1
"29","13035940aa78138aa9d57903dbdecb24","9","novelty","Bear","Bunny","t8","t7","t8","left","7","false",10334,1
"30","13035940aa78138aa9d57903dbdecb24","10","novelty","Beaver","Bunny","t4","t1","t4","left","8","true",7280,1
"31","201ef1441ce368e936d45d93c008c7ff","1","novelty","Elephant","Mouse","car","bear","car","left","train","false",10949,1
"32","201ef1441ce368e936d45d93c008c7ff","2","novelty","Pig","Mouse","duck","ball","ball","right","train","false",10825,1
"33","201ef1441ce368e936d45d93c008c7ff","3","novelty","Elephant","Mouse","t13","t14","t14","right","1","false",13898,1
"34","201ef1441ce368e936d45d93c008c7ff","4","novelty","Frog","Mouse","t11","t10","t10","right","2","true",11661,1
"35","201ef1441ce368e936d45d93c008c7ff","5","novelty","Cat","Bear","t4","t17","t17","right","3","true",10952,1
"36","201ef1441ce368e936d45d93c008c7ff","6","novelty","Bunny","Beaver","t18","t6","t6","right","4","false",11512,1
"37","201ef1441ce368e936d45d93c008c7ff","7","novelty","Tiger","Beaver","t5","t2","t5","left","5","false",10821,1
"38","201ef1441ce368e936d45d93c008c7ff","8","novelty","Dog","Beaver","t9","t12","t9","left","6","true",10751,1
"39","201ef1441ce368e936d45d93c008c7ff","9","novelty","Pig","Sheep","t3","t1","t3","left","7","false",10186,1
"40","201ef1441ce368e936d45d93c008c7ff","10","novelty","Monkey","Sheep","t15","t16","t15","left","8","true",10825,1
"41","2afe2ac8ba74246d4a2ce7dc3229579e","1","novelty","Elephant","Tiger","car","bear","car","left","train","false",10723,1
"42","2afe2ac8ba74246d4a2ce7dc3229579e","2","novelty","Pig","Tiger","duck","ball","ball","right","train","false",7765,1
"43","2afe2ac8ba74246d4a2ce7dc3229579e","3","novelty","Elephant","Tiger","t11","t1","t1","left","1","true",14094,0
"44","2afe2ac8ba74246d4a2ce7dc3229579e","4","novelty","Pig","Beaver","t14","t2","t14","left","2","false",10171,1
"45","2afe2ac8ba74246d4a2ce7dc3229579e","5","novelty","Frog","Beaver","t10","t3","t3","left","3","false",19370,0
"46","2afe2ac8ba74246d4a2ce7dc3229579e","6","novelty","Dog","Beaver","t12","t4","t12","right","4","true",11138,0
"47","2afe2ac8ba74246d4a2ce7dc3229579e","7","novelty","Monkey","Sheep","t13","t6","t6","right","5","true",9972,1
"48","2afe2ac8ba74246d4a2ce7dc3229579e","8","novelty","Mouse","Cat","t16","t7","t7","right","6","false",12295,1
"49","2afe2ac8ba74246d4a2ce7dc3229579e","9","novelty","Bunny","Cat","t15","t9","t9","right","7","false",8734,1
"50","2afe2ac8ba74246d4a2ce7dc3229579e","10","novelty","Bear","Cat","t8","t5","t5","left","8","true",10033,0
"51","31886d197ec5827a00604973f78239a1","1","novelty","Elephant","Sheep","car","bear","car","left","train","false",12692,1
"52","31886d197ec5827a00604973f78239a1","2","novelty","Pig","Sheep","duck","ball","ball","right","train","false",9854,1
"53","31886d197ec5827a00604973f78239a1","3","novelty","Elephant","Sheep","t9","t1","t1","right","1","false",14474,1
"54","31886d197ec5827a00604973f78239a1","4","novelty","Mouse","Sheep","t7","t2","t7","right","2","true",10722,0
"55","31886d197ec5827a00604973f78239a1","5","novelty","Frog","Dog","t10","t3","t10","left","3","true",10226,1
"56","31886d197ec5827a00604973f78239a1","6","novelty","Pig","Beaver","t15","t4","t15","left","4","false",10756,1
"57","31886d197ec5827a00604973f78239a1","7","novelty","Bunny","Beaver","t16","t6","t6","left","5","true",10028,0
"58","31886d197ec5827a00604973f78239a1","8","novelty","Monkey","Bear","t14","t5","t14","right","6","false",10234,0
