"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","anon0_preference","1","preference","Elephant","Sheep","car","bear","car","left","train","false",15246,1
"2","anon0_preference","2","preference","Pig","Sheep","duck","ball","ball","right","train","false",21662,1
"3","anon0_preference","3","preference","Frog","Sheep","t5","t13","t13","left","1","true",18370,0
"4","anon0_preference","4","preference","Monkey","Bear","t18","t1","t1","right","2","false",17423,1
"5","anon0_preference","5","preference","Mouse","Bear","t12","t10","t12","left","3","false",15323,1
"6","anon0_preference","6","preference","Bunny","Bear","t15","t17","t17","right","4","true",14452,1
"7","anon0_preference","7","preference","Tiger","Cat","t11","t16","t11","left","5","true",13795,1
"8","anon0_preference","8","preference","Dog",NA,"t8","t7","t7","right","6","false",13504,1
"9","anon1_preference","1","preference","Elephant","Cat","car","bear","car","left","train","false",10384,1
"10","anon1_preference","2","preference","Pig","Cat","duck","ball","ball","right","train","false",10025,1
"11","anon1_preference","3","preference","Frog","Cat","t5","t2","t5","left","1","false",13353,1
"12","anon1_preference","4","preference","Monkey","Cat","t13","t8","t8","right","2","true",13441,1
"13","anon1_preference","5","preference","Dog","Bunny","t17","t16","t17","left","3","true",13432,1
"14","anon1_preference","6","preference","Mouse","Sheep","t3","t10","t10","right","4","false",13817,1
"15","anon1_preference","7","preference","Bear","Sheep","t15","t6","t15","left","5","false",11697,1
"16","anon1_preference","8","preference","Tiger","Sheep","t1","t12","t12","right","6","true",9913,1
"17","anon10_preference","1","preference","Elephant","Dog","car","bear","car","left","train","false",15011,1
"18","anon10_preference","2","preference","Pig","Dog","duck","ball","ball","right","train","false",10314,1
"19","anon10_preference","3","preference","Monkey","Dog","t16","t8","t8","right","1","true",14507,1
"20","anon10_preference","4","preference","Tiger","Bear","t11","t13","t13","right","2","false",14151,1
"21","anon10_preference","5","preference","Mouse","Bear","t3","t18","t18","left","3","true",14062,0
"22","anon10_preference","6","preference","Frog","Sheep","t7","t15","t15","right","4","false",14315,1
"23","anon10_preference","7","preference","Bunny","Sheep","t10","t12","t12","left","5","false",14100,0
"24","anon10_preference","8","preference","Cat","Sheep","t5","t6","t6","left","6","true",12979,0
"25","anon11_preference","1","preference","Elephant","Cat","car","bear","car","left","train","false",9242,1
"26","anon11_preference","2","preference","Pig","Cat","duck","ball","ball","right","train","false",11316,1
"27","anon11_preference","3","preference","Monkey","Cat","t11","t18","t18","right","1","true",14964,1
"28","anon11_preference","4","preference","Bunny","Bear","t8","t1","t8","left","2","false",9603,1
"29","anon11_preference","5","preference","Frog","Bear","t10","t16","t16","right","3","false",12571,1
"30","anon11_preference","6","preference","Mouse","Bear","t5","t2","t2","right","4","true",11266,1
"31","anon11_preference","7","preference","Dog","Tiger","t12","t13","t12","left","5","true",12858,1
"32","anon11_preference","8","preference","Sheep",NA,"t6","t17","t6","left","6","false",12179,1
"33","anon12_preference","1","preference","Elephant","Tiger","car","bear","car","left","train","false",15022,1
"34","anon12_preference","2","preference","Pig","Tiger","duck","ball","ball","right","train","false",12411,1
"35","anon12_preference","3","preference","Bunny","Tiger","t11","t15","t15","right","1","false",14996,1
"36","anon12_preference","4","preference","Sheep","Tiger","t7","t3","t3","left","2","true",17994,0
"37","anon12_preference","5","preference","Monkey","Bear","t8","t1","t1","right","3","true",12634,1
"38","anon12_preference","6","preference","Frog","Dog","t12","t10","t12","left","4","false",14044,1
