"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","054cf874b19a45cb172bf0c100b23dda","1","preference","Elephant","Pig","car","bear","car","left","train","false",10720,1
"2","054cf874b19a45cb172bf0c100b23dda","2","preference","Pig","Pig","duck","ball","ball","right","train","false",9870,1
"3","054cf874b19a45cb172bf0c100b23dda","3","preference","Bunny","Pig","t13","t1","t13","left","1","false",11162,1
"4","054cf874b19a45cb172bf0c100b23dda","4","preference","Tiger","Pig","t10","t4","t10","right","2","true",13417,0
"5","054cf874b19a45cb172bf0c100b23dda","5","preference","Beaver","Dog","t7","t5","t7","left","3","false",12212,1
"6","054cf874b19a45cb172bf0c100b23dda","6","preference","Monkey","Dog","t2","t17","t2","left","4","true",10464,1
"7","054cf874b19a45cb172bf0c100b23dda","7","preference","Elephant","Cat","t12","t8","t8","right","5","false",9230,1
"8","054cf874b19a45cb172bf0c100b23dda","8","preference","Mouse","Cat","t14","t16","t16","right","6","true",10396,1
"9","054cf874b19a45cb172bf0c100b23dda","9","preference","Frog","Bear","t18","t11","t18","left","7","true",11831,1
"10","054cf874b19a45cb172bf0c100b23dda","10","preference","Sheep",NA,"t15","t9","t9","right","8","false",10508,1
"11","0760a55cd575907d752673d13e23ec1e","1","preference","Elephant","Elephant","car","bear","car","left","train","false",8886,1
"12","0760a55cd575907d752673d13e23ec1e","2","preference","Pig","Elephant","duck","ball","duck","right","train","false",11884,0
"13","0760a55cd575907d752673d13e23ec1e","3","preference","Bunny","Elephant","t18","t8","t8","left","1","false",11403,0
"14","0760a55cd575907d752673d13e23ec1e","4","preference","Sheep","Elephant","t12","t3","t3","right","2","true",10579,1
"15","0760a55cd575907d752673d13e23ec1e","5","preference","Mouse","Frog","t14","t4","t14","left","3","false",10715,1
"16","0760a55cd575907d752673d13e23ec1e","6","preference","Beaver","Frog","t16","t10","t10","right","4","true",10880,1
"17","0760a55cd575907d752673d13e23ec1e","7","preference","Bear","Cat","t11","t15","t15","right","5","false",10570,1
"18","0760a55cd575907d752673d13e23ec1e","8","preference","Monkey","Cat","t2","t6","t6","right","6","true",11280,1
"19","0760a55cd575907d752673d13e23ec1e","9","preference","Tiger","Pig","t13","t17","t13","left","7","false",11056,1
"20","0760a55cd575907d752673d13e23ec1e","10","preference","Dog","Pig","t5","t9","t5","left","8","true",9429,1
"21","0ae78dcd82525514e46c0981d172b41d","1","preference","Elephant","Cat","car","bear","car","left","train","false",12080,1
"22","0ae78dcd82525514e46c0981d172b41d","2","preference","Pig","Cat","duck","ball","ball","right","train","false",12001,1
"23","0ae78dcd82525514e46c0981d172b41d","3","preference","Mouse","Cat","t15","t13","t15","right","1","true",12668,0
"24","0ae78dcd82525514e46c0981d172b41d","4","preference","Beaver","Sheep","t11","t10","t11","left","2","false",10424,1
"25","0ae78dcd82525514e46c0981d172b41d","5","preference","Tiger","Sheep","t4","t8","t8","right","3","false",12216,1
"26","0ae78dcd82525514e46c0981d172b41d","6","preference","Bear","Sheep","t18","t16","t18","left","4","true",12478,1
"27","0ae78dcd82525514e46c0981d172b41d","7","preference","Dog","Elephant","t2","t7","t2","left","5","true",14090,1
"28","0ae78dcd82525514e46c0981d172b41d","8","preference","Pig","Monkey","t14","t1","t1","right","6","false",10693,1
"29","0ae78dcd82525514e46c0981d172b41d","9","preference","Frog","Monkey","t12","t3","t3","right","7","true",11480,1
"30","0ae78dcd82525514e46c0981d172b41d","10","preference","Bunny",NA,"t6","t9","t6","left","8","false",11229,1
"31","10a5882c1ec97bfb30e36e50df3df60c","1","preference","Elephant","Cat","car","bear","car","left","train","false",10745,1
"32","10a5882c1ec97bfb30e36e50df3df60c","2","preference","Pig","Cat","duck","ball","ball","right","train","false",9845,1
"33","10a5882c1ec97bfb30e36e50df3df60c","3","preference","Bunny","Cat","t11","t3","t11","left","1","true",10971,1
"34","10a5882c1ec97bfb30e36e50df3df60c","4","preference","Dog","Sheep","t1","t10","t1","left","2","false",10712,1
"35","10a5882c1ec97bfb30e36e50df3df60c","5","preference","Monkey","Sheep","t15","t12","t15","left","3","false",10868,1
"36","10a5882c1ec97bfb30e36e50df3df60c","6","preference","Frog","Sheep","t8","t4","t4","right","4","true",10633,1
"37","10a5882c1ec97bfb30e36e50df3df60c","7","preference","Pig","Mouse","t18","t5","t5","right","5","true",10915,1
"38","10a5882c1ec97bfb30e36e50df3df60c","8","preference","Tiger","Elephant","t16","t6","t6","right","6","false",11151,1
"39","10a5882c1ec97bfb30e36e50df3df60c","9","preference","Bear","Elephant","t13","t2","t2","right","7","false",10814,1
"40","10a5882c1ec97bfb30e36e50df3df60c","10","preference","Beaver","Elephant","t14","t9","t14","left","8","true",10745,1
"41","1de3979752949761f67ab4999f8e6f78","1","preference","Elephant","Pig","car","bear","car","left","train","false",11920,1
"42","1de3979752949761f67ab4999f8e6f78","2","preference","Pig","Pig","duck","ball","duck","right","train","false",9609,0
"43","1de3979752949761f67ab4999f8e6f78","3","preference","Sheep","Pig","t12","t10","t10","right","1","true",11289,1
"44","1de3979752949761f67ab4999f8e6f78","4","preference","Beaver","Frog","t7","t4","t7","left","2","false",9418,1
