count;experiment;prior;speaker;info;correct_cg;correct_inf;correct_add;correct_seq
1;1;pref;same;neutral;0.9666667;0.9666667;0.9666667;0.9666667
2;1;pref;diff;neutral;0.6416667;0.6416667;0.6416667;0.6416667
3;1;novel;same;neutral;0.8333333;0.8333333;0.8333333;0.8333333
4;1;novel;diff;neutral;0.5916667;0.5916667;0.5916667;0.5916667
5;2;cntl;same;inf;0.7416667;0.7416667;0.7416667;0.7416667
6;2;cntl;same;neutral;0.4583333;0.4583333;0.4583333;0.4583333
7;3A;pref;same;inf;0.9666667;0.7416667;0.8541667;0.9666667
8;3A;pref;diff;inf;0.7416667;0.7416667;0.7416667;0.7416667
9;3A;pref;same;noninf;0.9666667;0.25;0.6125;0.6125
10;3A;pref;diff;noninf;0.25;0.25;0.2583333;0.2583333
11;3B;novel;same;inf;0.8333333;0.7416667;0.7875;0.7875
12;3B;novel;diff;inf;0.7416667;0.7416667;0.7416667;0.7416667
13;3B;novel;same;noninf;0.8333333;0.25;0.5458333;0.5458333
14;3B;novel;diff;noninf;0.25;0.25;0.2583333;0.2583333
